total_packets_a2b_mean,total_packets_a2b_max,total_packets_a2b_min,total_packets_b2a_mean,total_packets_b2a_max,total_packets_b2a_min,ack_pkts_sent_a2b_mean,ack_pkts_sent_a2b_max,ack_pkts_sent_a2b_min,ack_pkts_sent_b2a_mean,ack_pkts_sent_b2a_max,ack_pkts_sent_b2a_min,pure_acks_sent_a2b_mean,pure_acks_sent_a2b_max,pure_acks_sent_a2b_min,pure_acks_sent_b2a_mean,pure_acks_sent_b2a_max,pure_acks_sent_b2a_min,sack_pkts_sent_a2b_mean,sack_pkts_sent_a2b_max,sack_pkts_sent_a2b_min,sack_pkts_sent_b2a_mean,sack_pkts_sent_b2a_max,sack_pkts_sent_b2a_min,dsack_pkts_sent_a2b_mean,dsack_pkts_sent_a2b_max,dsack_pkts_sent_a2b_min,dsack_pkts_sent_b2a_mean,dsack_pkts_sent_b2a_max,dsack_pkts_sent_b2a_min,max_sack_blks/ack_a2b_mean,max_sack_blks/ack_a2b_max,max_sack_blks/ack_a2b_min,max_sack_blks/ack_b2a_mean,max_sack_blks/ack_b2a_max,max_sack_blks/ack_b2a_min,unique_bytes_sent_a2b_mean,unique_bytes_sent_a2b_max,unique_bytes_sent_a2b_min,unique_bytes_sent_b2a_mean,unique_bytes_sent_b2a_max,unique_bytes_sent_b2a_min,actual_data_pkts_a2b_mean,actual_data_pkts_a2b_max,actual_data_pkts_a2b_min,actual_data_pkts_b2a_mean,actual_data_pkts_b2a_max,actual_data_pkts_b2a_min,actual_data_bytes_a2b_mean,actual_data_bytes_a2b_max,actual_data_bytes_a2b_min,actual_data_bytes_b2a_mean,actual_data_bytes_b2a_max,actual_data_bytes_b2a_min,rexmt_data_pkts_a2b_mean,rexmt_data_pkts_a2b_max,rexmt_data_pkts_a2b_min,rexmt_data_pkts_b2a_mean,rexmt_data_pkts_b2a_max,rexmt_data_pkts_b2a_min,rexmt_data_bytes_a2b_mean,rexmt_data_bytes_a2b_max,rexmt_data_bytes_a2b_min,rexmt_data_bytes_b2a_mean,rexmt_data_bytes_b2a_max,rexmt_data_bytes_b2a_min,zwnd_probe_pkts_a2b_mean,zwnd_probe_pkts_a2b_max,zwnd_probe_pkts_a2b_min,zwnd_probe_pkts_b2a_mean,zwnd_probe_pkts_b2a_max,zwnd_probe_pkts_b2a_min,zwnd_probe_bytes_a2b_mean,zwnd_probe_bytes_a2b_max,zwnd_probe_bytes_a2b_min,zwnd_probe_bytes_b2a_mean,zwnd_probe_bytes_b2a_max,zwnd_probe_bytes_b2a_min,outoforder_pkts_a2b_mean,outoforder_pkts_a2b_max,outoforder_pkts_a2b_min,outoforder_pkts_b2a_mean,outoforder_pkts_b2a_max,outoforder_pkts_b2a_min,pushed_data_pkts_a2b_mean,pushed_data_pkts_a2b_max,pushed_data_pkts_a2b_min,pushed_data_pkts_b2a_mean,pushed_data_pkts_b2a_max,pushed_data_pkts_b2a_min,sacks_sent_a2b_mean,sacks_sent_a2b_max,sacks_sent_a2b_min,sacks_sent_b2a_mean,sacks_sent_b2a_max,sacks_sent_b2a_min,urgent_data_pkts_a2b_mean,urgent_data_pkts_a2b_max,urgent_data_pkts_a2b_min,urgent_data_pkts_b2a_mean,urgent_data_pkts_b2a_max,urgent_data_pkts_b2a_min,urgent_data_bytes_a2b_mean,urgent_data_bytes_a2b_max,urgent_data_bytes_a2b_min,urgent_data_bytes_b2a_mean,urgent_data_bytes_b2a_max,urgent_data_bytes_b2a_min,mss_requested_a2b_mean,mss_requested_a2b_max,mss_requested_a2b_min,mss_requested_b2a_mean,mss_requested_b2a_max,mss_requested_b2a_min,avg_win_adv_a2b_mean,avg_win_adv_a2b_max,avg_win_adv_a2b_min,avg_win_adv_b2a_mean,avg_win_adv_b2a_max,avg_win_adv_b2a_min,initial_window_bytes_a2b_mean,initial_window_bytes_a2b_max,initial_window_bytes_a2b_min,initial_window_bytes_b2a_mean,initial_window_bytes_b2a_max,initial_window_bytes_b2a_min,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,data_xmit_time_a2b_mean,data_xmit_time_a2b_max,data_xmit_time_a2b_min,data_xmit_time_b2a_mean,data_xmit_time_b2a_max,data_xmit_time_b2a_min,idletime_max_a2b_mean,idletime_max_a2b_max,idletime_max_a2b_min,idletime_max_b2a_mean,idletime_max_b2a_max,idletime_max_b2a_min,throughput_a2b_mean,throughput_a2b_max,throughput_a2b_min,throughput_b2a_mean,throughput_b2a_max,throughput_b2a_min,delta_mean,delta_max,delta_min,adv_wind_scale_a2b_mean,adv_wind_scale_b2a_mean,max_segm_size_a2b_max,max_segm_size_b2a_max,max_win_adv_a2b_max,max_win_adv_b2a_max,min_segm_size_a2b_min,min_segm_size_b2a_min,min_win_adv_a2b_min,min_win_adv_b2a_min
8.0,8,8,7.5,8,7,7.0,7,7,7.5,8,7,3.0,3,3,2.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1458.0,1473,1443,722.5,830,615,4.0,4,4,4.5,5,4,1458.0,1473,1443,722.5,830,615,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4.0,4,4,4.5,5,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1386.0,1386,1386,87771.0,87771,87771,30125.5,30171,30080,360.0,419,301,197.5,249,146,1.5,2,1,1.5,2,1,0.0465,0.056,0.037,0.054,0.055,0.053,77.15,102.8,51.5,49.15,61.9,36.4,10544.0,12393,8695,5091.0,5282,4900,0.116437673569,0.116437673569,0.116437673569,6.0,8.0,1108,552,88704,31488,34,34,87616,29184
8.5,9,8,7.0,8,6,7.5,8,7,7.0,8,6,4.0,5,3,1.5,2,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1445.5,1473,1418,723.0,830,616,3.5,4,3,4.5,5,4,1445.5,1473,1418,723.0,830,616,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,3.5,4,3,4.5,5,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1386.0,1386,1386,87761.5,87771,87752,29871.0,29900,29842,360.0,419,301,197.5,249,146,1.5,2,1,1.5,2,1,0.0505,0.065,0.036,0.06,0.07,0.05,41.2,44.6,37.8,32.9,33.0,32.8,12154.0,13090,11218,6004.0,6321,5687,0.131306886673,0.131306886673,0.131306886673,6.0,8.0,1117,552,88704,31488,38,34,87616,29184
7.5,9,6,5.0,7,3,5.5,8,3,5.0,7,3,2.0,4,0,1.5,2,1,0.0,0,0,0.5,1,0,0.0,0,0,0.5,1,0,0.0,0,0,0.5,1,0,757.5,1473,42,436.5,831,42,2.5,4,1,2.5,4,1,757.5,1473,42,436.5,831,42,0.5,1,0,0.0,0,0,0.5,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2.5,4,1,2.5,4,1,0.0,0,0,0.5,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,730.0,1460,0,693.0,1386,0,43910.5,87760,61,15733.0,30080,1386,230.5,419,42,73.0,146,0,1.0,1,1,1.0,1,1,0.0285,0.057,0.0,0.0345,0.069,0.0,1799.05,3539.2,58.9,1767.95,3513.3,22.6,5145.5,9802,489,3009.5,5530,489,0.0858771800995,0.0858771800995,0.0858771800995,3.0,4.0,965,553,88768,30976,38,42,123,1386
8.0,8,8,7.0,7,7,7.0,7,7,7.0,7,7,3.0,3,3,2.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1473.0,1473,1473,831.0,831,831,4.0,4,4,4.0,4,4,1473.0,1473,1473,831.0,831,831,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4.0,4,4,4.0,4,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1386.0,1386,1386,87780.0,87780,87780,30080.0,30080,30080,419.0,419,419,146.0,146,146,1.0,1,1,1.0,1,1,0.06,0.06,0.06,0.056,0.056,0.056,44.7,44.7,44.7,46.4,46.4,46.4,9260.0,9260,9260,5224.0,5224,5224,0.159068107605,0.159068107605,0.159068107605,6.0,8.0,965,553,88768,30976,38,51,87616,29184
8.0,8,8,7.0,7,7,7.0,7,7,7.0,7,7,3.0,3,3,2.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1473.0,1473,1473,830.0,830,830,4.0,4,4,4.0,4,4,1473.0,1473,1473,830.0,830,830,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4.0,4,4,4.0,4,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1386.0,1386,1386,87771.0,87771,87771,30080.0,30080,30080,419.0,419,419,146.0,146,146,1.0,1,1,1.0,1,1,0.058,0.058,0.058,0.052,0.052,0.052,42.8,42.8,42.8,44.9,44.9,44.9,9376.0,9376,9376,5283.0,5283,5283,0.64023900032,0.64023900032,0.64023900032,6.0,8.0,965,552,88704,30976,38,51,87616,29184
8.0,8,8,7.0,7,7,7.0,7,7,7.0,7,7,3.0,3,3,2.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1473.0,1473,1473,833.0,833,833,4.0,4,4,4.0,4,4,1473.0,1473,1473,833.0,833,833,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4.0,4,4,4.0,4,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1386.0,1386,1386,87780.0,87780,87780,30080.0,30080,30080,419.0,419,419,146.0,146,146,1.0,1,1,1.0,1,1,0.056,0.056,0.056,0.051,0.051,0.051,43.4,43.4,43.4,44.3,44.3,44.3,9731.0,9731,9731,5503.0,5503,5503,0.151373147964,0.151373147964,0.151373147964,6.0,8.0,965,555,88768,30976,38,51,87616,29184
8.0,8,8,6.0,6,6,7.0,7,7,6.0,6,6,3.0,3,3,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1473.0,1473,1473,831.0,831,831,4.0,4,4,4.0,4,4,1473.0,1473,1473,831.0,831,831,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4.0,4,4,4.0,4,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1386.0,1386,1386,87780.0,87780,87780,29900.0,29900,29900,419.0,419,419,146.0,146,146,1.0,1,1,1.0,1,1,0.059,0.059,0.059,0.068,0.068,0.068,36.0,36.0,36.0,31.6,31.6,31.6,12074.0,12074,12074,6812.0,6812,6812,0.121993780136,0.121993780136,0.121993780136,6.0,8.0,965,553,88768,30976,38,51,87616,29184
8.0,8,8,7.0,7,7,7.0,7,7,7.0,7,7,3.0,3,3,2.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1473.0,1473,1473,831.0,831,831,4.0,4,4,4.0,4,4,1473.0,1473,1473,831.0,831,831,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4.0,4,4,4.0,4,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1386.0,1386,1386,87780.0,87780,87780,30080.0,30080,30080,419.0,419,419,146.0,146,146,1.0,1,1,1.0,1,1,0.058,0.058,0.058,0.056,0.056,0.056,40.0,40.0,40.0,41.0,41.0,41.0,9501.0,9501,9501,5360.0,5360,5360,0.155042886734,0.155042886734,0.155042886734,6.0,8.0,965,553,88768,30976,38,51,87616,29184
8.0,8,8,7.0,7,7,7.0,7,7,7.0,7,7,3.0,3,3,2.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1473.0,1473,1473,833.0,833,833,4.0,4,4,4.0,4,4,1473.0,1473,1473,833.0,833,833,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4.0,4,4,4.0,4,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1386.0,1386,1386,87780.0,87780,87780,30080.0,30080,30080,419.0,419,419,146.0,146,146,1.0,1,1,1.0,1,1,0.063,0.063,0.063,0.051,0.051,0.051,50.6,50.6,50.6,52.7,52.7,52.7,9188.0,9188,9188,5196.0,5196,5196,0.160310983658,0.160310983658,0.160310983658,6.0,8.0,965,555,88768,30976,38,51,87616,29184
8.0,8,8,7.0,7,7,7.0,7,7,7.0,7,7,3.0,3,3,2.0,2,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1473.0,1473,1473,833.0,833,833,4.0,4,4,4.0,4,4,1473.0,1473,1473,833.0,833,833,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4.0,4,4,4.0,4,4,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1386.0,1386,1386,87780.0,87780,87780,30080.0,30080,30080,419.0,419,419,146.0,146,146,1.0,1,1,1.0,1,1,0.109,0.109,0.109,0.08,0.08,0.08,66.6,66.6,66.6,69.5,69.5,69.5,5789.0,5789,5789,3274.0,3274,3274,0.254455089569,0.254455089569,0.254455089569,6.0,8.0,965,555,88768,30976,38,51,87616,29184
