total_packets_a2b_sum,total_packets_a2b_mean,total_packets_a2b_max,total_packets_a2b_min,total_packets_b2a_sum,total_packets_b2a_mean,total_packets_b2a_max,total_packets_b2a_min,ack_pkts_sent_a2b_sum,ack_pkts_sent_a2b_mean,ack_pkts_sent_a2b_max,ack_pkts_sent_a2b_min,ack_pkts_sent_b2a_sum,ack_pkts_sent_b2a_mean,ack_pkts_sent_b2a_max,ack_pkts_sent_b2a_min,pure_acks_sent_a2b_sum,pure_acks_sent_a2b_mean,pure_acks_sent_a2b_max,pure_acks_sent_a2b_min,pure_acks_sent_b2a_sum,pure_acks_sent_b2a_mean,pure_acks_sent_b2a_max,pure_acks_sent_b2a_min,sack_pkts_sent_a2b_sum,sack_pkts_sent_a2b_mean,sack_pkts_sent_a2b_max,sack_pkts_sent_a2b_min,sack_pkts_sent_b2a_sum,sack_pkts_sent_b2a_mean,sack_pkts_sent_b2a_max,sack_pkts_sent_b2a_min,dsack_pkts_sent_a2b_sum,dsack_pkts_sent_a2b_mean,dsack_pkts_sent_a2b_max,dsack_pkts_sent_a2b_min,dsack_pkts_sent_b2a_sum,dsack_pkts_sent_b2a_mean,dsack_pkts_sent_b2a_max,dsack_pkts_sent_b2a_min,max_sack_blks/ack_a2b_sum,max_sack_blks/ack_a2b_mean,max_sack_blks/ack_a2b_max,max_sack_blks/ack_a2b_min,max_sack_blks/ack_b2a_sum,max_sack_blks/ack_b2a_mean,max_sack_blks/ack_b2a_max,max_sack_blks/ack_b2a_min,unique_bytes_sent_a2b_sum,unique_bytes_sent_a2b_mean,unique_bytes_sent_a2b_max,unique_bytes_sent_a2b_min,unique_bytes_sent_b2a_sum,unique_bytes_sent_b2a_mean,unique_bytes_sent_b2a_max,unique_bytes_sent_b2a_min,actual_data_pkts_a2b_sum,actual_data_pkts_a2b_mean,actual_data_pkts_a2b_max,actual_data_pkts_a2b_min,actual_data_pkts_b2a_sum,actual_data_pkts_b2a_mean,actual_data_pkts_b2a_max,actual_data_pkts_b2a_min,actual_data_bytes_a2b_sum,actual_data_bytes_a2b_mean,actual_data_bytes_a2b_max,actual_data_bytes_a2b_min,actual_data_bytes_b2a_sum,actual_data_bytes_b2a_mean,actual_data_bytes_b2a_max,actual_data_bytes_b2a_min,rexmt_data_pkts_a2b_sum,rexmt_data_pkts_a2b_mean,rexmt_data_pkts_a2b_max,rexmt_data_pkts_a2b_min,rexmt_data_pkts_b2a_sum,rexmt_data_pkts_b2a_mean,rexmt_data_pkts_b2a_max,rexmt_data_pkts_b2a_min,rexmt_data_bytes_a2b_sum,rexmt_data_bytes_a2b_mean,rexmt_data_bytes_a2b_max,rexmt_data_bytes_a2b_min,rexmt_data_bytes_b2a_sum,rexmt_data_bytes_b2a_mean,rexmt_data_bytes_b2a_max,rexmt_data_bytes_b2a_min,zwnd_probe_pkts_a2b_sum,zwnd_probe_pkts_a2b_mean,zwnd_probe_pkts_a2b_max,zwnd_probe_pkts_a2b_min,zwnd_probe_pkts_b2a_sum,zwnd_probe_pkts_b2a_mean,zwnd_probe_pkts_b2a_max,zwnd_probe_pkts_b2a_min,zwnd_probe_bytes_a2b_sum,zwnd_probe_bytes_a2b_mean,zwnd_probe_bytes_a2b_max,zwnd_probe_bytes_a2b_min,zwnd_probe_bytes_b2a_sum,zwnd_probe_bytes_b2a_mean,zwnd_probe_bytes_b2a_max,zwnd_probe_bytes_b2a_min,outoforder_pkts_a2b_sum,outoforder_pkts_a2b_mean,outoforder_pkts_a2b_max,outoforder_pkts_a2b_min,outoforder_pkts_b2a_sum,outoforder_pkts_b2a_mean,outoforder_pkts_b2a_max,outoforder_pkts_b2a_min,pushed_data_pkts_a2b_sum,pushed_data_pkts_a2b_mean,pushed_data_pkts_a2b_max,pushed_data_pkts_a2b_min,pushed_data_pkts_b2a_sum,pushed_data_pkts_b2a_mean,pushed_data_pkts_b2a_max,pushed_data_pkts_b2a_min,sacks_sent_a2b_sum,sacks_sent_a2b_mean,sacks_sent_a2b_max,sacks_sent_a2b_min,sacks_sent_b2a_sum,sacks_sent_b2a_mean,sacks_sent_b2a_max,sacks_sent_b2a_min,urgent_data_pkts_a2b_sum,urgent_data_pkts_a2b_mean,urgent_data_pkts_a2b_max,urgent_data_pkts_a2b_min,urgent_data_pkts_b2a_sum,urgent_data_pkts_b2a_mean,urgent_data_pkts_b2a_max,urgent_data_pkts_b2a_min,urgent_data_bytes_a2b_sum,urgent_data_bytes_a2b_mean,urgent_data_bytes_a2b_max,urgent_data_bytes_a2b_min,urgent_data_bytes_b2a_sum,urgent_data_bytes_b2a_mean,urgent_data_bytes_b2a_max,urgent_data_bytes_b2a_min,mss_requested_a2b_sum,mss_requested_a2b_mean,mss_requested_a2b_max,mss_requested_a2b_min,mss_requested_b2a_sum,mss_requested_b2a_mean,mss_requested_b2a_max,mss_requested_b2a_min,avg_win_adv_a2b_sum,avg_win_adv_a2b_mean,avg_win_adv_a2b_max,avg_win_adv_a2b_min,avg_win_adv_b2a_sum,avg_win_adv_b2a_mean,avg_win_adv_b2a_max,avg_win_adv_b2a_min,initial_window_bytes_a2b_sum,initial_window_bytes_a2b_mean,initial_window_bytes_a2b_max,initial_window_bytes_a2b_min,initial_window_bytes_b2a_sum,initial_window_bytes_b2a_mean,initial_window_bytes_b2a_max,initial_window_bytes_b2a_min,initial_window_pkts_a2b_sum,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,initial_window_pkts_a2b_sum,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,data_xmit_time_a2b_sum,data_xmit_time_a2b_mean,data_xmit_time_a2b_max,data_xmit_time_a2b_min,data_xmit_time_b2a_sum,data_xmit_time_b2a_mean,data_xmit_time_b2a_max,data_xmit_time_b2a_min,idletime_max_a2b_sum,idletime_max_a2b_mean,idletime_max_a2b_max,idletime_max_a2b_min,idletime_max_b2a_sum,idletime_max_b2a_mean,idletime_max_b2a_max,idletime_max_b2a_min,throughput_a2b_sum,throughput_a2b_mean,throughput_a2b_max,throughput_a2b_min,throughput_b2a_sum,throughput_b2a_mean,throughput_b2a_max,throughput_b2a_min,delta_sum,delta_mean,delta_max,delta_min,SYN_pkts_sent_a2b_sum,SYN_pkts_sent_a2b_mean,SYN_pkts_sent_a2b_max,SYN_pkts_sent_a2b_min,FIN_pkts_sent_a2b_sum,FIN_pkts_sent_a2b_mean,FIN_pkts_sent_a2b_max,FIN_pkts_sent_a2b_min,SYN_pkts_sent_b2a_sum,SYN_pkts_sent_b2a_mean,SYN_pkts_sent_b2a_max,SYN_pkts_sent_b2a_min,FIN_pkts_sent_b2a_sum,FIN_pkts_sent_b2a_mean,FIN_pkts_sent_b2a_max,FIN_pkts_sent_b2a_min,adv_wind_scale_a2b_mean,adv_wind_scale_b2a_mean,max_segm_size_a2b_max,max_segm_size_b2a_max,max_win_adv_a2b_max,max_win_adv_b2a_max,min_segm_size_a2b_min,min_segm_size_b2a_min,min_win_adv_a2b_min,min_win_adv_b2a_min
70,10.0,15,2,56,8.0,13,1,58,8.28571428571,11,2,50,7.14285714286,11,1,29,4.14285714286,6,1,9,1.28571428571,2,0,1,0.142857142857,1,0,1,0.142857142857,1,0,0,0.0,0,0,1,0.142857142857,1,0,1,0.142857142857,1,0,1,0.142857142857,1,0,8193,1170.42857143,1780,23,19973,2853.28571429,5532,27,25,3.57142857143,5,1,31,4.42857142857,7,1,8244,1177.71428571,1831,23,19973,2853.28571429,5532,27,1,0.142857142857,1,0,0,0.0,0,0,51,7.28571428571,51,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.142857142857,1,0,25,3.57142857143,5,1,23,3.28571428571,5,1,1,0.142857142857,1,0,1,0.142857142857,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1251.42857143,1460,0,8490,1212.85714286,1460,0,488701,69814.4285714,94502,358,162811,23258.7142857,29476,1591,1798,256.857142857,517,23,11950,1707.14285714,4926,0,7,1.0,1,1,7,1.0,1,1,3.284,0.469142857143,1.452,0.0,2.699,0.385571428571,1.227,0.0,11722.2,1674.6,5514.7,45.9,12111.8,1730.25714286,5553.4,68.1,15008,2144.0,6215,107,55355,7907.85714286,23647,125,1.50926351547,0.215609073639,0.215609073639,0.215609073639,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,5.14285714286,7.14285714286,1181,1448,102336,32928,23,27,358,1591
61,10.1666666667,12,8,52,8.66666666667,11,8,53,8.83333333333,10,7,47,7.83333333333,10,7,26,4.33333333333,6,2,8,1.33333333333,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8162,1360.33333333,1780,798,19947,3324.5,5532,403,23,3.83333333333,4,3,30,5.0,7,3,8162,1360.33333333,1780,798,19947,3324.5,5532,403,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,23,3.83333333333,4,3,22,3.66666666667,5,3,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,8490,1415.0,1460,1240,503191,83865.1666667,94502,75254,162103,27017.1666667,29476,23552,1775,295.833333333,517,180,5796,966.0,1448,137,6,1.0,1,1,6,1.0,1,1,2.211,0.3685,0.6,0.126,1.763,0.293833333333,0.445,0.167,5490.5,915.083333333,2756.7,72.8,5583.9,930.65,2796.5,91.6,14617,2436.16666667,4052,1759,48038,8006.33333333,15503,439,5.10556697845,0.850927829742,0.850927829742,0.850927829742,6,1.0,1,1,0,0.0,0,0,6,1.0,1,1,6,1.0,1,1,6.0,8.33333333333,1181,1448,102336,32928,31,31,87616,25728
76,10.8571428571,15,8,66,9.42857142857,13,8,65,9.28571428571,12,7,60,8.57142857143,11,7,35,5.0,8,2,10,1.42857142857,2,0,2,0.285714285714,1,0,0,0.0,0,0,2,0.285714285714,1,0,0,0.0,0,0,2,0.285714285714,1,0,0,0.0,0,0,9764,1394.85714286,1780,798,26035,3719.28571429,6089,403,26,3.71428571429,4,3,39,5.57142857143,8,3,9764,1394.85714286,1780,798,27922,3988.85714286,6362,403,0,0.0,0,0,2,0.285714285714,1,0,0,0.0,0,0,1887,269.571428571,1057,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,26,3.71428571429,4,3,28,4.0,6,3,2,0.285714285714,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,10220,1460.0,1460,1460,9950,1421.42857143,1460,1240,594655,84950.7142857,95517,75254,180926,25846.5714286,29568,19854,1958,279.714285714,517,180,12416,1773.71428571,4926,137,7,1.0,1,1,7,1.0,1,1,2.909,0.415571428571,0.728,0.135,2.373,0.339,0.49,0.139,11110.0,1587.14285714,3815.3,67.2,11092.1,1584.58571429,3869.7,96.8,16745,2392.14285714,4405,1590,56974,8139.14285714,16758,371,7.60032081604,1.08576011658,1.08576011658,1.08576011658,7,1.0,1,1,0,0.0,0,0,7,1.0,1,1,7,1.0,1,1,6.0,8.28571428571,1285,1448,102336,33792,31,31,87616,15872
53,10.6,15,3,41,8.2,14,1,46,9.2,12,2,38,7.6,12,1,27,5.4,7,1,7,1.4,2,0,1,0.2,1,0,1,0.2,1,0,1,0.2,1,0,1,0.2,1,0,1,0.2,1,0,1,0.2,1,0,5135,1027.0,1467,517,19141,3828.2,5532,0,17,3.4,5,1,25,5.0,8,0,5315,1063.0,1647,517,19971,3994.2,6362,0,1,0.2,1,0,1,0.2,1,0,180,36.0,180,0,830,166.0,830,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,17,3.4,5,1,17,3.4,6,0,1,0.2,1,0,1,0.2,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,7300,1460.0,1460,1460,7030,1406.0,1460,1240,416353,83270.6,94993,58410,138452,27690.4,29476,26089,1258,251.6,517,180,9287,1857.4,3519,0,5,1.0,1,1,5,1.0,1,1,5.183,1.0366,1.945,0.0,3.154,0.6308,1.031,0.0,5453.5,1090.7,2674.5,424.7,4909.8,981.96,2707.5,115.9,3797,759.4,1209,460,11955,2391.0,5439,0,2.13747501373,0.427495002747,0.427495002747,0.427495002747,5,1.0,1,1,0,0.0,0,0,5,1.0,1,1,0,0.0,0,0,6.0,8.0,1130,1448,102336,32928,31,0,87616,25728
75,9.375,12,2,62,7.75,11,0,66,8.25,11,2,57,7.125,10,0,34,4.25,8,0,10,1.25,2,0,1,0.125,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.125,1,0,0,0.0,0,0,9788,1223.5,1781,31,26035,3254.375,6089,0,27,3.375,4,1,37,4.625,7,0,9788,1223.5,1781,31,26035,3254.375,6089,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.125,1,0,27,3.375,4,1,26,3.25,5,0,1,0.125,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,10220,1277.5,1460,0,9950,1243.75,1460,0,600513,75064.125,95517,752,182104,22763.0,29476,0,1989,248.625,517,31,12793,1599.125,4926,0,8,1.0,1,1,8,1.0,1,1,3.444,0.4305,0.817,0.0,2.792,0.349,0.567,0.0,11283.1,1410.3875,3798.5,1.0,11378.2,1625.45714286,3845.1,170.5,43479,5434.875,29981,1290,46351,5793.875,13696,0,0.00827217102051,0.00103402137756,0.00103402137756,0.00103402137756,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,5.25,7.25,1284,1448,102336,33792,31,0,1505,0
65,13.0,16,11,48,9.6,12,8,60,12.0,15,10,48,9.6,12,8,38,7.6,9,7,7,1.4,2,0,4,0.8,1,0,0,0.0,0,0,4,0.8,1,0,0,0.0,0,0,4,0.8,1,0,0,0.0,0,0,6217,1243.4,1595,798,24670,4934.0,6089,4027,20,4.0,5,3,34,6.8,8,6,7629,1525.8,2551,798,25686,5137.2,6089,4269,2,0.4,1,0,4,0.8,1,0,1412,282.4,1102,0,1016,203.2,274,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,20,4.0,5,3,23,4.6,6,4,4,0.8,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,7300,1460.0,1460,1460,7030,1406.0,1460,1240,462957,92591.4,95148,88231,137489,27497.8,31488,19854,924,184.8,190,180,16554,3310.8,5869,1448,5,1.0,1,1,5,1.0,1,1,9.425,1.885,2.353,1.285,10.201,2.0402,2.364,1.691,4300.3,860.06,1345.5,584.2,4396.1,879.22,1378.2,645.0,2062,412.4,547,219,8136,1627.2,2088,1321,13.2467448711,2.64934897423,2.64934897423,2.64934897423,5,1.0,1,1,0,0.0,0,0,5,1.0,1,1,5,1.0,1,1,6.0,7.6,1286,1448,101632,33792,31,31,87616,15872
88,11.0,14,5,69,8.625,11,2,76,9.5,11,4,63,7.875,10,2,43,5.375,8,2,11,1.375,3,0,3,0.375,2,0,1,0.125,1,0,3,0.375,2,0,1,0.125,1,0,2,0.25,1,0,1,0.125,1,0,10005,1250.625,1781,568,29560,3695.0,6089,137,30,3.75,5,2,41,5.125,7,1,10056,1257.0,1832,568,31657,3957.125,6907,137,1,0.125,1,0,3,0.375,2,0,51,6.375,51,0,2098,262.25,2097,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,30,3.75,5,2,29,3.625,5,1,3,0.375,2,0,1,0.125,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,11680,1460.0,1460,1460,11410,1426.25,1460,1240,697376,87172.0,95148,68266,211497,26437.125,31113,19854,2475,309.375,517,180,12143,1517.875,3519,137,8,1.0,1,1,8,1.0,1,1,6.28,0.785,1.277,0.168,5.076,0.6345,1.258,0.0,10821.3,1352.6625,3298.1,166.1,11184.1,1398.0125,3337.8,176.1,10122,1265.25,2268,828,30104,3763.0,8663,265,2.61390304565,0.326737880707,0.326737880707,0.326737880707,8,1.0,1,1,0,0.0,0,0,8,1.0,1,1,0,0.0,0,0,6.0,7.875,1287,1448,102336,33792,31,31,87616,15872
73,8.11111111111,12,1,62,6.88888888889,11,1,65,7.22222222222,11,1,57,6.33333333333,10,0,33,3.66666666667,8,0,9,1.0,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,10276,1141.77777778,1782,31,26034,2892.66666667,6089,0,28,3.11111111111,4,1,37,4.11111111111,7,0,10276,1141.77777778,1782,31,26034,2892.66666667,6089,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,28,3.11111111111,4,1,26,2.88888888889,5,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,11680,1297.77777778,1460,0,11410,1267.77777778,1460,0,661725,73525.0,95517,70,225034,25003.7777778,30752,0,2506,278.444444444,517,31,14191,1576.77777778,4926,0,9,1.0,1,1,9,1.0,1,1,2.866,0.318444444444,0.733,0.0,2.106,0.234,0.519,0.0,10123.9,1124.87777778,3373.3,0.0,9969.1,1107.67777778,3410.3,0.0,45309,5034.33333333,27051,1164,47861,5317.88888889,15781,0,1.29205012321,0.143561124802,0.143561124802,0.143561124802,9,1.0,1,1,0,0.0,0,0,9,1.0,1,1,0,0.0,0,0,5.33333333333,7.55555555556,1215,1448,102336,32928,31,0,70,0
65,10.8333333333,15,9,57,9.5,13,8,55,9.16666666667,11,7,50,8.33333333333,11,7,28,4.66666666667,6,2,8,1.33333333333,2,0,1,0.166666666667,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.166666666667,1,0,0,0.0,0,0,8170,1361.66666667,1782,798,19946,3324.33333333,5532,403,23,3.83333333333,4,3,30,5.0,7,3,8170,1361.66666667,1782,798,19946,3324.33333333,5532,403,0,0.0,0,0,2,0.333333333333,1,0,0,0.0,0,0,2,0.333333333333,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.166666666667,1,0,23,3.83333333333,4,3,22,3.66666666667,5,3,1,0.166666666667,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,8490,1415.0,1460,1240,491341,81890.1666667,94502,65848,158840,26473.3333333,29476,21390,1775,295.833333333,517,180,9095,1515.83333333,3519,137,6,1.0,1,1,6,1.0,1,1,2.875,0.479166666667,0.735,0.133,2.237,0.372833333333,0.521,0.217,6833.6,1138.93333333,3383.5,192.7,6831.4,1138.56666667,3424.7,200.9,13047,2174.5,3902,1542,44731,7455.16666667,14906,359,6.72786712646,1.12131118774,1.12131118774,1.12131118774,6,1.0,1,1,0,0.0,0,0,6,1.0,1,1,6,1.0,1,1,6.0,8.33333333333,1183,1448,102336,32928,31,31,87616,25728
67,11.1666666667,16,1,48,8.0,12,0,55,9.16666666667,13,0,46,7.66666666667,11,0,35,5.83333333333,10,0,5,0.833333333333,2,0,4,0.666666666667,2,0,0,0.0,0,0,4,0.666666666667,2,0,0,0.0,0,0,3,0.5,1,0,0,0.0,0,0,6207,1034.5,1524,0,25228,4204.66666667,6089,0,18,3.0,4,0,31,5.16666666667,7,0,6207,1034.5,1524,0,25228,4204.66666667,6089,0,4,0.666666666667,2,0,4,0.666666666667,2,0,4,0.666666666667,2,0,4,0.666666666667,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,18,3.0,4,0,20,3.33333333333,5,0,4,0.666666666667,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,7030,1171.66666667,1460,0,514182,85697.0,94464,65535,142991,23831.8333333,31402,0,924,154.0,190,0,18658,3109.66666667,5869,0,5,0.833333333333,1,0,5,0.833333333333,1,0,2.256,0.376,0.875,0.0,1.874,0.312333333333,0.613,0.0,5418.9,903.15,2003.5,0.0,2507.8,501.56,705.0,124.0,5308.0,1061.6,2702.0,323.0,23398.0,4679.6,10238.0,1188.0,0.0,0.0,0.0,0.0,6,1.0,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,6.0,6.33333333333,1215,1448,102336,32768,0,0,65535,0
