conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,



1,192.168.2.3,104.36.194.169,40366,443,1492060564.834552 , 1492060568.116284 ,             26,             36,              0,              0,             25,             36,             19,              4,             10,              1,              0,              1,              1,              1,           2605,          34616,              6,             31,           3823,          37364,              1,              2,           1218,           2748,              0,              0,              0,              0,              0,              1,              6,              5,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,             10,              1,              0,              0,              0,              0,           1460,           1386,           1218,           1374,             53,             38,            637,           1205,         106880,          34560,          87616,          30080,              0,              0,          99724,          32552,            186,           2943,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          3.170,          2.203,         2381.4,          942.3,              0,              0,            794,          10548,

2,192.168.2.3,104.36.194.169,43480,443,1492060565.25607 , 1492060565.623004 ,             14,             12,              0,              0,             13,             12,              8,              2,              1,              0,              1,              0,              1,              0,           2874,           3536,              5,              9,           2874,           3605,              0,              1,              0,             69,              0,              0,              0,              0,              0,              0,              4,              7,            1/0,            1/0,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1386,           1374,           1374,             53,             38,            574,            400,          95872,          35584,          87616,          30080,              0,              0,          93543,          31592,            186,           1374,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.387,          0.482,         2493.3,         2500.8,              0,              0,           4811,           5919,

3,192.168.2.3,a23-44-163-167.deploy.static.akamaitechnologies.com,47328,443,1492060565.59631 , 1492060567.82757 ,             17,             32,              0,              0,             16,             32,             13,              1,              1,              0,              1,              0,              1,              0,            619,          34388,              3,             30,            619,          36932,              0,              3,              0,           2544,              0,              0,              0,              0,              0,              1,              3,              5,            1/0,            1/0,            Y/Y,            Y/Y,              6,              5,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1386,            294,           1374,            126,            242,            206,           1231,         139840,          31104,          87616,          30048,              0,              0,         108064,          30899,            199,           3590,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.343,          1.823,         2463.6,         1033.5,              0,              0,            306,          16997,

4,192.168.2.3,api.braintreegateway.com,42939,443,1492060565.80106 , 1492060567.146614 ,              6,              6,              0,              0,              5,              6,              4,              0,              2,              0,              0,              0,              1,              0,            202,           5079,              1,              5,            202,           6453,              0,              1,              0,           1374,              0,              0,              0,              0,              0,              1,              1,              1,            1/0,            1/0,            Y/Y,            Y/Y,              6,              6,              Y,              Y,              2,              0,              0,              0,              0,              0,           1460,           1320,            202,           1374,            202,            957,            201,           1290,          90368,          15552,          87616,          15552,              0,              0,          89267,          15552,            202,           1374,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          1.992,         2852.1,         1124.6,              0,              0,             98,           2458,

5,192.168.2.3,ec2-23-23-215-5.compute-1.amazonaws.com,44545,443,1492060565.269952 , 1492060568.110471 ,             12,             13,              0,              0,             11,             13,              7,              3,              0,              2,              0,              2,              0,              1,            328,           5920,              4,              9,            580,           6022,              2,              2,            252,            102,              0,              0,              0,              0,              0,              0,              4,              5,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              2,              0,              0,              0,              0,           1460,           1386,            202,           1288,            126,             51,            144,            669,         103104,          27136,          87616,          27136,              0,              0,          96762,          27136,            202,           5869,              1,              6,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          2.599,          1.496,         2333.6,          998.8,              0,              0,            115,           2084,

