total_packets_a2b_sum,total_packets_a2b_mean,total_packets_a2b_max,total_packets_a2b_min,total_packets_b2a_sum,total_packets_b2a_mean,total_packets_b2a_max,total_packets_b2a_min,ack_pkts_sent_a2b_sum,ack_pkts_sent_a2b_mean,ack_pkts_sent_a2b_max,ack_pkts_sent_a2b_min,ack_pkts_sent_b2a_sum,ack_pkts_sent_b2a_mean,ack_pkts_sent_b2a_max,ack_pkts_sent_b2a_min,pure_acks_sent_a2b_sum,pure_acks_sent_a2b_mean,pure_acks_sent_a2b_max,pure_acks_sent_a2b_min,pure_acks_sent_b2a_sum,pure_acks_sent_b2a_mean,pure_acks_sent_b2a_max,pure_acks_sent_b2a_min,sack_pkts_sent_a2b_sum,sack_pkts_sent_a2b_mean,sack_pkts_sent_a2b_max,sack_pkts_sent_a2b_min,sack_pkts_sent_b2a_sum,sack_pkts_sent_b2a_mean,sack_pkts_sent_b2a_max,sack_pkts_sent_b2a_min,dsack_pkts_sent_a2b_sum,dsack_pkts_sent_a2b_mean,dsack_pkts_sent_a2b_max,dsack_pkts_sent_a2b_min,dsack_pkts_sent_b2a_sum,dsack_pkts_sent_b2a_mean,dsack_pkts_sent_b2a_max,dsack_pkts_sent_b2a_min,max_sack_blks/ack_a2b_sum,max_sack_blks/ack_a2b_mean,max_sack_blks/ack_a2b_max,max_sack_blks/ack_a2b_min,max_sack_blks/ack_b2a_sum,max_sack_blks/ack_b2a_mean,max_sack_blks/ack_b2a_max,max_sack_blks/ack_b2a_min,unique_bytes_sent_a2b_sum,unique_bytes_sent_a2b_mean,unique_bytes_sent_a2b_max,unique_bytes_sent_a2b_min,unique_bytes_sent_b2a_sum,unique_bytes_sent_b2a_mean,unique_bytes_sent_b2a_max,unique_bytes_sent_b2a_min,actual_data_pkts_a2b_sum,actual_data_pkts_a2b_mean,actual_data_pkts_a2b_max,actual_data_pkts_a2b_min,actual_data_pkts_b2a_sum,actual_data_pkts_b2a_mean,actual_data_pkts_b2a_max,actual_data_pkts_b2a_min,actual_data_bytes_a2b_sum,actual_data_bytes_a2b_mean,actual_data_bytes_a2b_max,actual_data_bytes_a2b_min,actual_data_bytes_b2a_sum,actual_data_bytes_b2a_mean,actual_data_bytes_b2a_max,actual_data_bytes_b2a_min,rexmt_data_pkts_a2b_sum,rexmt_data_pkts_a2b_mean,rexmt_data_pkts_a2b_max,rexmt_data_pkts_a2b_min,rexmt_data_pkts_b2a_sum,rexmt_data_pkts_b2a_mean,rexmt_data_pkts_b2a_max,rexmt_data_pkts_b2a_min,rexmt_data_bytes_a2b_sum,rexmt_data_bytes_a2b_mean,rexmt_data_bytes_a2b_max,rexmt_data_bytes_a2b_min,rexmt_data_bytes_b2a_sum,rexmt_data_bytes_b2a_mean,rexmt_data_bytes_b2a_max,rexmt_data_bytes_b2a_min,zwnd_probe_pkts_a2b_sum,zwnd_probe_pkts_a2b_mean,zwnd_probe_pkts_a2b_max,zwnd_probe_pkts_a2b_min,zwnd_probe_pkts_b2a_sum,zwnd_probe_pkts_b2a_mean,zwnd_probe_pkts_b2a_max,zwnd_probe_pkts_b2a_min,zwnd_probe_bytes_a2b_sum,zwnd_probe_bytes_a2b_mean,zwnd_probe_bytes_a2b_max,zwnd_probe_bytes_a2b_min,zwnd_probe_bytes_b2a_sum,zwnd_probe_bytes_b2a_mean,zwnd_probe_bytes_b2a_max,zwnd_probe_bytes_b2a_min,outoforder_pkts_a2b_sum,outoforder_pkts_a2b_mean,outoforder_pkts_a2b_max,outoforder_pkts_a2b_min,outoforder_pkts_b2a_sum,outoforder_pkts_b2a_mean,outoforder_pkts_b2a_max,outoforder_pkts_b2a_min,pushed_data_pkts_a2b_sum,pushed_data_pkts_a2b_mean,pushed_data_pkts_a2b_max,pushed_data_pkts_a2b_min,pushed_data_pkts_b2a_sum,pushed_data_pkts_b2a_mean,pushed_data_pkts_b2a_max,pushed_data_pkts_b2a_min,sacks_sent_a2b_sum,sacks_sent_a2b_mean,sacks_sent_a2b_max,sacks_sent_a2b_min,sacks_sent_b2a_sum,sacks_sent_b2a_mean,sacks_sent_b2a_max,sacks_sent_b2a_min,urgent_data_pkts_a2b_sum,urgent_data_pkts_a2b_mean,urgent_data_pkts_a2b_max,urgent_data_pkts_a2b_min,urgent_data_pkts_b2a_sum,urgent_data_pkts_b2a_mean,urgent_data_pkts_b2a_max,urgent_data_pkts_b2a_min,urgent_data_bytes_a2b_sum,urgent_data_bytes_a2b_mean,urgent_data_bytes_a2b_max,urgent_data_bytes_a2b_min,urgent_data_bytes_b2a_sum,urgent_data_bytes_b2a_mean,urgent_data_bytes_b2a_max,urgent_data_bytes_b2a_min,mss_requested_a2b_sum,mss_requested_a2b_mean,mss_requested_a2b_max,mss_requested_a2b_min,mss_requested_b2a_sum,mss_requested_b2a_mean,mss_requested_b2a_max,mss_requested_b2a_min,avg_win_adv_a2b_sum,avg_win_adv_a2b_mean,avg_win_adv_a2b_max,avg_win_adv_a2b_min,avg_win_adv_b2a_sum,avg_win_adv_b2a_mean,avg_win_adv_b2a_max,avg_win_adv_b2a_min,initial_window_bytes_a2b_sum,initial_window_bytes_a2b_mean,initial_window_bytes_a2b_max,initial_window_bytes_a2b_min,initial_window_bytes_b2a_sum,initial_window_bytes_b2a_mean,initial_window_bytes_b2a_max,initial_window_bytes_b2a_min,initial_window_pkts_a2b_sum,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,initial_window_pkts_a2b_sum,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,data_xmit_time_a2b_sum,data_xmit_time_a2b_mean,data_xmit_time_a2b_max,data_xmit_time_a2b_min,data_xmit_time_b2a_sum,data_xmit_time_b2a_mean,data_xmit_time_b2a_max,data_xmit_time_b2a_min,idletime_max_a2b_sum,idletime_max_a2b_mean,idletime_max_a2b_max,idletime_max_a2b_min,idletime_max_b2a_sum,idletime_max_b2a_mean,idletime_max_b2a_max,idletime_max_b2a_min,throughput_a2b_sum,throughput_a2b_mean,throughput_a2b_max,throughput_a2b_min,throughput_b2a_sum,throughput_b2a_mean,throughput_b2a_max,throughput_b2a_min,delta_sum,delta_mean,delta_max,delta_min,SYN_pkts_sent_a2b_sum,SYN_pkts_sent_a2b_mean,SYN_pkts_sent_a2b_max,SYN_pkts_sent_a2b_min,FIN_pkts_sent_a2b_sum,FIN_pkts_sent_a2b_mean,FIN_pkts_sent_a2b_max,FIN_pkts_sent_a2b_min,SYN_pkts_sent_b2a_sum,SYN_pkts_sent_b2a_mean,SYN_pkts_sent_b2a_max,SYN_pkts_sent_b2a_min,FIN_pkts_sent_b2a_sum,FIN_pkts_sent_b2a_mean,FIN_pkts_sent_b2a_max,FIN_pkts_sent_b2a_min,adv_wind_scale_a2b_mean,adv_wind_scale_b2a_mean,max_segm_size_a2b_max,max_segm_size_b2a_max,max_win_adv_a2b_max,max_win_adv_b2a_max,min_segm_size_a2b_min,min_segm_size_b2a_min,min_win_adv_a2b_min,min_win_adv_b2a_min
104,17.3333333333,26,11,90,15.0,25,7,98,16.3333333333,25,10,90,15.0,25,7,75,12.5,21,7,12,2.0,3,0,17,2.83333333333,12,0,0,0.0,0,0,3,0.5,1,0,0,0.0,0,0,4,0.666666666667,1,0,0,0.0,0,0,10283,1713.83333333,2867,665,67268,11211.3333333,23180,3507,23,3.83333333333,5,3,72,12.0,21,6,10283,1713.83333333,2867,665,68812,11468.6666667,23180,3702,0,0.0,0,0,3,0.5,1,0,0,0.0,0,0,1544,257.333333333,1154,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2,0.333333333333,1,0,21,3.5,4,3,29,4.83333333333,6,3,17,2.83333333333,12,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,8250,1375.0,1386,1320,579277,96546.1666667,108352,90092,156535,26089.1666667,31984,14778,1150,191.666666667,207,183,25027,4171.16666667,5869,2943,6,1.0,1,1,6,1.0,1,1,2.059,0.343166666667,0.386,0.291,2.272,0.378666666667,0.537,0.219,1518.1,253.016666667,385.0,167.2,1650.2,275.033333333,424.6,164.9,17891,2981.83333333,4738,1481,111032,18505.3333333,35483,5796,7.06551504135,1.17758584023,1.17758584023,1.17758584023,111111,18518.5,1,1,000000,0.0,0,0,111111,18518.5,1,1,000000,0.0,0,0,6.0,7.16666666667,1374,1374,137088,35584,53,38,87616,11520
75,15.0,26,6,99,19.8,36,6,70,14.0,25,5,99,19.8,36,6,51,10.2,19,4,10,2.0,4,0,14,2.8,10,0,3,0.6,2,0,2,0.4,1,0,3,0.6,2,0,4,0.8,1,0,2,0.4,1,0,6628,1325.6,2874,202,83539,16707.8,34616,3536,19,3.8,6,1,84,16.8,31,5,8098,1619.6,3823,202,90376,18075.2,37364,3605,3,0.6,2,0,9,1.8,3,1,1470,294.0,1218,0,6837,1367.4,2748,69,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3,0.6,1,0,18,3.6,6,1,23,4.6,7,1,14,2.8,10,0,3,0.6,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,7300,1460.0,1460,1460,6864,1372.8,1386,1320,487360,97472.0,108064,89267,137731,27546.2,32552,15552,975,195.0,202,186,15150,3030.0,5869,1374,5,1.0,1,1,5,1.0,1,1,6.499,1.2998,3.17,0.0,7.996,1.5992,2.203,0.482,12524.0,2504.8,2852.1,2333.6,6600.0,1320.0,2500.8,942.3,6124,1224.8,4811,98,38006,7601.2,16997,2084,14.2025947571,2.84051895142,2.84051895142,2.84051895142,11111,2222.2,1,1,00000,0.0,0,0,11111,2222.2,1,1,00000,0.0,0,0,6.0,6.6,1374,1374,139840,35584,53,38,87616,15552
87,17.4,41,10,75,15.0,41,7,82,16.4,40,9,75,15.0,41,7,62,12.4,35,4,8,1.6,3,0,7,1.4,7,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.2,1,0,0,0.0,0,0,9802,1960.4,3140,665,60936,12187.2,42122,481,20,4.0,5,3,62,12.4,37,5,9802,1960.4,3140,665,63684,12736.8,44870,481,0,0.0,0,0,2,0.4,2,0,0,0.0,0,0,2748,549.6,2748,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.2,1,0,18,3.6,5,3,22,4.4,6,3,7,1.4,7,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,7300,1460.0,1460,1460,6864,1372.8,1386,1320,497374,99474.8,122051,87616,140321,28064.2,32841,15733,1295,259.0,517,183,12118,2423.6,5079,146,5,1.0,1,1,5,1.0,1,1,1.111,0.2222,0.503,0.105,2.692,0.5384,2.042,0.104,11651.5,2330.3,2952.9,1985.9,10580.2,2116.04,2992.5,884.1,24203,4840.6,10439,1209,85516,17103.2,30855,1599,2.0440351963,0.408807039261,0.408807039261,0.408807039261,11111,2222.2,1,1,00000,0.0,0,0,11111,2222.2,1,1,00000,0.0,0,0,6.0,7.2,1374,1374,153600,35584,38,38,87616,15552
75,18.75,40,10,66,16.5,40,7,71,17.75,39,9,66,16.5,40,7,54,13.5,32,6,5,1.25,2,0,12,3.0,12,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.25,1,0,0,0.0,0,0,9308,2327.0,4988,665,60689,15172.25,42356,5885,17,4.25,7,3,57,14.25,37,6,9308,2327.0,4988,665,63437,15859.25,45104,5885,0,0.0,0,0,2,0.5,2,0,0,0.0,0,0,2748,687.0,2748,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2,0.5,2,0,14,3.5,5,3,17,4.25,6,3,12,3.0,12,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,5840,1460.0,1460,1460,5478,1369.5,1386,1320,399320,99830.0,112011,94648,112136,28034.0,37431,15733,778,194.5,207,183,15848,3962.0,5250,2576,4,1.0,1,1,4,1.0,1,1,1.187,0.29675,0.566,0.163,2.55,0.6375,1.902,0.165,5792.7,1448.175,2180.2,1102.6,5498.6,1374.65,2217.2,727.9,13643,3410.75,5180,1910,71327,17831.75,21074,11212,2.0995759964,0.5248939991,0.5248939991,0.5248939991,1111,277.75,1,1,0000,0.0,0,0,1111,277.75,1,1,0000,0.0,0,0,6.0,7.25,1374,1374,139840,41088,53,38,87616,15552
85,17.0,39,10,75,15.0,39,7,80,16.0,38,9,75,15.0,39,7,60,12.0,33,4,9,1.8,3,0,22,4.4,21,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2,0.4,1,0,0,0.0,0,0,10059,2011.8,3134,665,60925,12185.0,42111,481,20,4.0,5,3,61,12.2,35,5,10059,2011.8,3134,665,60925,12185.0,42111,481,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3,0.6,2,0,18,3.6,5,3,22,4.4,6,3,22,4.4,21,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,7300,1460.0,1460,1460,6864,1372.8,1386,1320,474630,94926.0,102679,87616,127614,25522.8,32841,14778,1295,259.0,517,183,8985,1797.0,5079,146,5,1.0,1,1,5,1.0,1,1,2.199,0.4398,0.922,0.179,2.383,0.4766,0.946,0.178,1538.8,307.76,563.3,116.7,1580.4,316.08,563.0,114.8,19434,3886.8,8356,1419,88926,17785.2,47746,1282,2.43061065674,0.486122131348,0.486122131348,0.486122131348,11111,2222.2,1,1,00000,0.0,0,0,11111,2222.2,1,1,00000,0.0,0,0,6.0,7.2,1374,1374,117888,35584,38,38,87616,11520
60,10.0,14,6,64,10.6666666667,19,7,53,8.83333333333,13,5,64,10.6666666667,19,7,37,6.16666666667,8,4,8,1.33333333333,3,0,3,0.5,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2,0.333333333333,1,0,0,0.0,0,0,5618,936.333333333,2864,183,37181,6196.83333333,12926,3270,16,2.66666666667,5,1,49,8.16666666667,15,6,5618,936.333333333,2864,183,40288,6714.66666667,13002,3507,1,0.166666666667,1,0,8,1.33333333333,3,0,1,0.166666666667,1,0,3108,518.0,2308,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2,0.333333333333,1,0,15,2.5,4,1,26,4.33333333333,6,2,3,0.5,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,8250,1375.0,1386,1320,553610,92268.3333333,95046,90826,150189,25031.5,31331,11520,1150,191.666666667,207,183,19582,3263.66666667,5869,1374,6,1.0,1,1,6,1.0,1,1,1.748,0.291333333333,0.724,0.0,5.934,0.989,2.284,0.011,9926.0,1654.33333333,1833.4,1582.3,7314.5,1219.08333333,1685.4,639.6,6746,1124.33333333,4394,105,32996,5499.33333333,12514,2295,8.55055189133,1.42509198189,1.42509198189,1.42509198189,111111,18518.5,1,1,000000,0.0,0,0,111111,18518.5,1,1,000000,0.0,0,0,6.0,7.16666666667,1374,1374,101376,35584,53,38,87616,11520
93,18.6,42,10,84,16.8,43,7,88,17.6,41,9,84,16.8,43,7,68,13.6,36,6,9,1.8,3,0,22,4.4,16,0,0,0.0,0,0,6,1.2,3,0,0,0.0,0,0,3,0.6,1,0,0,0.0,0,0,9796,1959.2,2871,665,63957,12791.4,42120,3507,20,4.0,5,3,70,14.0,39,6,9796,1959.2,2871,665,71202,14240.4,47616,3507,0,0.0,0,0,7,1.4,4,0,0,0.0,0,0,7245,1449.0,5496,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3,0.6,2,0,18,3.6,5,3,25,5.0,7,3,22,4.4,16,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,7300,1460.0,1460,1460,6864,1372.8,1386,1320,488736,97747.2,111230,93080,127481,25496.2,33002,14778,964,192.8,207,183,11475,2295.0,3036,1374,5,1.0,1,1,5,1.0,1,1,1.274,0.2548,0.479,0.125,6.003,1.2006,3.174,0.224,13742.8,2748.56,3436.5,2425.3,11159.7,2231.94,3474.3,968.6,14120,2824.0,7286,767,55477,11095.4,18103,2112,13.9273548126,2.78547096252,2.78547096252,2.78547096252,11111,2222.2,1,1,00000,0.0,0,0,11111,2222.2,1,1,00000,0.0,0,0,6.0,7.2,1374,1374,139840,35584,53,38,87616,11520
95,19.0,40,10,88,17.6,42,8,90,18.0,39,9,88,17.6,42,8,66,13.2,34,4,13,2.6,5,0,23,4.6,16,1,4,0.8,3,0,9,1.8,4,1,4,0.8,3,0,6,1.2,2,1,2,0.4,1,0,10061,2012.2,3133,665,60937,12187.4,42124,481,24,4.8,7,3,70,14.0,38,6,14309,2861.8,6259,665,68344,13668.8,45503,667,4,0.8,3,0,10,2.0,4,1,4248,849.6,4122,0,7407,1481.4,3379,186,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3,0.6,3,0,19,3.8,5,3,30,6.0,8,4,23,4.6,16,1,4,0.8,3,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,7300,1460.0,1460,1460,6864,1372.8,1386,1320,496574,99314.8,118211,87616,142887,28577.4,33433,15862,1295,259.0,517,183,12375,2475.0,5250,146,5,1.0,1,1,5,1.0,1,1,4.197,0.8394,2.701,0.141,6.829,1.3658,3.138,0.278,12931.7,2586.34,3144.1,2339.0,10393.3,2078.66,3180.7,1048.1,12054,2410.8,6625,757,38817,7763.4,12981,1017,14.1151094437,2.82302188873,2.82302188873,2.82302188873,11111,2222.2,1,1,00000,0.0,0,0,11111,2222.2,1,1,00000,0.0,0,0,6.0,7.2,1374,1374,145344,35584,38,38,87616,15552
80,16.0,31,10,87,17.4,43,8,75,15.0,30,9,87,17.4,43,8,50,10.0,25,4,13,2.6,4,1,7,1.4,7,0,6,1.2,3,0,0,0.0,0,0,6,1.2,3,0,1,0.2,1,0,2,0.4,1,0,9451,1890.2,3119,333,59141,11828.2,40744,481,25,5.0,6,4,69,13.8,39,5,10840,2168.0,3119,711,67465,13493.0,46875,481,6,1.2,3,0,10,2.0,5,0,1389,277.8,1011,0,8324,1664.8,6131,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2,0.4,2,0,24,4.8,6,4,28,5.6,7,5,7,1.4,7,0,6,1.2,3,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,7300,1460.0,1460,1460,6864,1372.8,1386,1320,486636,97327.2,110715,87616,139958,27991.6,32886,16145,1295,259.0,517,183,9847,1969.4,4096,146,5,1.0,1,1,5,1.0,1,1,6.852,1.3704,2.901,0.253,7.651,1.5302,3.46,0.196,14101.0,2820.2,3722.1,2423.9,9671.6,1934.32,3723.1,839.5,15112,3022.4,7141,108,32717,6543.4,16375,1065,14.7935402393,2.95870804787,2.95870804787,2.95870804787,11111,2222.2,1,1,00000,0.0,0,0,11111,2222.2,1,1,00000,0.0,0,0,6.0,7.2,1374,1374,139840,35584,38,38,87616,15552
90,18.0,41,11,90,18.0,47,10,85,17.0,40,10,90,18.0,47,10,62,12.4,35,4,13,2.6,4,1,25,5.0,21,0,3,0.6,1,0,1,0.2,1,0,3,0.6,1,0,5,1.0,3,0,3,0.6,1,0,10054,2010.8,3129,665,60925,12185.0,42113,481,23,4.6,6,3,72,14.4,42,6,10344,2068.8,3167,791,75079,15015.8,51731,667,3,0.6,1,0,12,2.4,7,0,290,58.0,126,0,14154,2830.8,9618,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,5,1.0,4,0,21,4.2,5,3,26,5.2,6,4,25,5.0,21,0,3,0.6,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,7300,1460.0,1460,1460,6864,1372.8,1386,1320,476289,95257.8,104876,87616,141065,28213.0,33450,15987,1295,259.0,517,183,9787,1957.4,2943,146,5,1.0,1,1,5,1.0,1,1,6.707,1.3414,2.915,0.321,9.007,1.8014,3.456,0.319,13392.5,2678.5,3571.6,2422.0,9927.7,1985.54,3609.2,971.7,6070,1214.0,3354,228,29594,5918.8,13453,159,14.8015749454,2.96031498909,2.96031498909,2.96031498909,11111,2222.2,1,1,00000,0.0,0,0,11111,2222.2,1,1,00000,0.0,0,0,6.0,7.2,1374,1374,128832,35584,38,38,87616,15552
