#1 arg remaining, starting with './Data/Raw/Venmo/Venmo30.pcapng'
#Ostermann's tcptrace -- version 6.6.7 -- Thu Nov  4, 2004

#130 packets seen, 123 TCP packets traced
#elapsed wallclock time: 0:00:00.113964, 1140 pkts/sec analyzed
#trace file elapsed time: 0:00:03.995457
#TCP connection info:
#10 TCP connections traced:
conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,server-54-230-7-140.dfw3.r.cloudfront.net,46211,443,1492102911.1446 , 1492102912.798298 ,             11,              8,              0,              0,             10,              8,              7,              1,              0,              0,              0,              0,              0,              0,            721,           5209,              3,              6,            721,           5209,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            408,           1448,            126,            201,            240,            868,         102080,          31232,          87616,          30208,              0,              0,          95436,          30354,            187,           4545,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.198,          0.828,         2198.6,         2230.9,              0,              0,            401,           2899,
2,192.168.2.3,ec2-107-21-118-233.compute-1.amazonaws.com,54446,443,1492102911.17597 , 1492102914.598905 ,             15,             13,              0,              0,             14,             13,              9,              4,              1,              2,              1,              2,              1,              1,           1244,           7172,              5,              8,           2362,           8424,              2,              1,           1118,           1252,              0,              0,              0,              0,              0,              0,              5,              5,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              2,              0,              0,              0,              0,           1460,           1460,            928,           1448,            126,             51,            472,           1052,         102080,          29952,          87616,          28160,              0,              0,          95890,          28608,            190,           4096,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          2.473,          2.622,         1183.3,         1191.3,              0,              0,            347,           2003,
3,192.168.2.3,api.braintreegateway.com,45816,443,1492102911.227276 , 1492102914.618624 ,             11,              7,              0,              0,             10,              7,              7,              0,              1,              0,              1,              0,              1,              0,            652,           4589,              3,              6,            652,           5467,              0,              1,              0,            878,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              6,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1320,            336,           1448,            126,            258,            217,            911,         102080,          16640,          87616,          15552,              0,              0,          95436,          15914,            190,           2896,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.112,          2.232,         1302.1,         1261.8,              0,              0,            192,           1353,
4,192.168.2.3,edge-star-shv-01-dft4.facebook.com,41423,443,1492102911.269134 , 1492102914.921223 ,             12,             11,              0,              0,             11,             11,              7,              3,              1,              0,              1,              0,              1,              0,           1044,           5468,              4,              7,           1044,           6524,              0,              1,              0,           1056,              0,              0,              0,              0,              0,              0,              4,              5,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1410,            488,           1398,            126,            258,            260,            931,         104384,          31232,          87616,          29184,              0,              0,          96273,          29900,            184,           3493,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          2.719,          2.536,         1426.3,         1109.3,              0,              0,            286,           1497,
5,192.168.2.3,ec2-52-72-173-28.compute-1.amazonaws.com,35034,443,1492102911.633009 , 1492102914.617998 ,             14,             13,              0,              0,             13,             13,              9,              2,              1,              1,              1,              1,              1,              1,            594,          11041,              4,             10,            894,          12483,              1,              1,            300,           1442,              0,              0,              0,              0,              0,              0,              4,              5,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              1,              0,              0,              0,              0,           1460,           1460,            300,           1448,            126,             51,            223,           1248,         110784,          29184,          87616,          28160,              0,              0,          98313,          28672,            168,           4096,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          2.138,          2.182,         1060.6,         1367.4,              0,              0,            199,           3699,
6,192.168.2.3,ec2-54-243-231-128.compute-1.amazonaws.com,49700,443,1492102914.373875 , 1492102914.748948 ,              3,              1,              0,              0,              2,              1,              1,              0,              0,              0,              0,              0,              0,              0,            183,              0,              1,              0,            183,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              0,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            183,              0,            183,              0,            182,              0,          87616,          26847,          87616,          26847,              0,              0,          58410,          26847,            183,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,          346.0,          278.1,              0,              0,            488,              0,
7,192.168.2.3,den02s02-in-f20.1e100.net,49607,443,1492102914.753810 , 1492102914.753810 ,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            1/0,            0/0,            Y/Y,            N/N,              6,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           1460,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,          243.1,             NA,              0,              0,             NA,             NA,
8,192.168.2.3,edge-star-shv-01-dft4.facebook.com,51771,443,1492102914.754349 , 1492102914.754349 ,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            1/0,            0/0,            Y/Y,            N/N,              6,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           1460,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,          242.6,             NA,              0,              0,             NA,             NA,
9,192.168.2.3,edge-star-shv-01-dft4.facebook.com,48957,443,1492102914.758347 , 1492102914.758347 ,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            1/0,            0/0,            Y/Y,            N/N,              6,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           1460,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,          238.6,             NA,              0,              0,             NA,             NA,
