conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,



1,192.168.2.3,edge-star-shv-01-dft4.facebook.com,52752,443,1492103158.655971 , 1492103161.245922 ,              4,              1,              0,              0,              2,              1,              1,              0,              0,              0,              0,              0,              0,              0,            184,              0,              1,              0,            184,              0,              1,              0,              1,              0,              0,              0,              0,              0,              0,              0,              1,              0,            2/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1410,            184,              0,            184,              0,            183,              0,          87616,          27960,          87616,          27960,              0,              0,          43808,          27960,            184,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,         2469.2,         1195.7,              0,              0,             71,              0,

2,192.168.2.3,server-54-230-7-190.dfw3.r.cloudfront.net,51402,emwavemsg,1492103158.760947 , 1492103162.421049 ,             28,             29,              0,              0,             28,             29,             27,              0,              6,              0,              0,              0,              1,              0,            286,          41992,              1,             29,            286,          41992,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,              0,            0/0,            0/0,            N/Y,            N/Y,              0,              0,              N,              N,              6,              0,              0,              0,              0,              0,              0,              0,            286,           1448,            286,           1448,            285,           1447,           6166,            135,           6166,            135,              0,              0,           6166,            135,            286,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          1.182,         2488.8,          767.4,              0,              0,             78,          11473,

3,192.168.2.3,ec2-54-88-89-70.compute-1.amazonaws.com,49680,443,1492103161.125131 , 1492103161.829018 ,              3,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              2,              0,              2,              0,              0,              0,              0,              0,              0,              0,              0,              0,            3/0,            0/0,            Y/Y,            N/N,              6,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           1460,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,          703.9,             NA,              0,              0,              0,              0,

4,192.168.2.3,ec2-54-88-89-70.compute-1.amazonaws.com,49681,443,1492103161.125138 , 1492103161.829105 ,              3,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              2,              0,              2,              0,              0,              0,              0,              0,              0,              0,              0,              0,            3/0,            0/0,            Y/Y,            N/N,              6,              0,              Y,              N,              0,              0,              0,              0,              0,              0,           1460,              0,              0,              0,              0,              0,              0,              0,          65535,              0,          65535,              0,              0,              0,          65535,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,          703.7,             NA,              0,              0,              0,              0,
