total_packets_a2b_sum,total_packets_a2b_mean,total_packets_a2b_max,total_packets_a2b_min,total_packets_b2a_sum,total_packets_b2a_mean,total_packets_b2a_max,total_packets_b2a_min,ack_pkts_sent_a2b_sum,ack_pkts_sent_a2b_mean,ack_pkts_sent_a2b_max,ack_pkts_sent_a2b_min,ack_pkts_sent_b2a_sum,ack_pkts_sent_b2a_mean,ack_pkts_sent_b2a_max,ack_pkts_sent_b2a_min,pure_acks_sent_a2b_sum,pure_acks_sent_a2b_mean,pure_acks_sent_a2b_max,pure_acks_sent_a2b_min,pure_acks_sent_b2a_sum,pure_acks_sent_b2a_mean,pure_acks_sent_b2a_max,pure_acks_sent_b2a_min,sack_pkts_sent_a2b_sum,sack_pkts_sent_a2b_mean,sack_pkts_sent_a2b_max,sack_pkts_sent_a2b_min,sack_pkts_sent_b2a_sum,sack_pkts_sent_b2a_mean,sack_pkts_sent_b2a_max,sack_pkts_sent_b2a_min,dsack_pkts_sent_a2b_sum,dsack_pkts_sent_a2b_mean,dsack_pkts_sent_a2b_max,dsack_pkts_sent_a2b_min,dsack_pkts_sent_b2a_sum,dsack_pkts_sent_b2a_mean,dsack_pkts_sent_b2a_max,dsack_pkts_sent_b2a_min,max_sack_blks/ack_a2b_sum,max_sack_blks/ack_a2b_mean,max_sack_blks/ack_a2b_max,max_sack_blks/ack_a2b_min,max_sack_blks/ack_b2a_sum,max_sack_blks/ack_b2a_mean,max_sack_blks/ack_b2a_max,max_sack_blks/ack_b2a_min,unique_bytes_sent_a2b_sum,unique_bytes_sent_a2b_mean,unique_bytes_sent_a2b_max,unique_bytes_sent_a2b_min,unique_bytes_sent_b2a_sum,unique_bytes_sent_b2a_mean,unique_bytes_sent_b2a_max,unique_bytes_sent_b2a_min,actual_data_pkts_a2b_sum,actual_data_pkts_a2b_mean,actual_data_pkts_a2b_max,actual_data_pkts_a2b_min,actual_data_pkts_b2a_sum,actual_data_pkts_b2a_mean,actual_data_pkts_b2a_max,actual_data_pkts_b2a_min,actual_data_bytes_a2b_sum,actual_data_bytes_a2b_mean,actual_data_bytes_a2b_max,actual_data_bytes_a2b_min,actual_data_bytes_b2a_sum,actual_data_bytes_b2a_mean,actual_data_bytes_b2a_max,actual_data_bytes_b2a_min,rexmt_data_pkts_a2b_sum,rexmt_data_pkts_a2b_mean,rexmt_data_pkts_a2b_max,rexmt_data_pkts_a2b_min,rexmt_data_pkts_b2a_sum,rexmt_data_pkts_b2a_mean,rexmt_data_pkts_b2a_max,rexmt_data_pkts_b2a_min,rexmt_data_bytes_a2b_sum,rexmt_data_bytes_a2b_mean,rexmt_data_bytes_a2b_max,rexmt_data_bytes_a2b_min,rexmt_data_bytes_b2a_sum,rexmt_data_bytes_b2a_mean,rexmt_data_bytes_b2a_max,rexmt_data_bytes_b2a_min,zwnd_probe_pkts_a2b_sum,zwnd_probe_pkts_a2b_mean,zwnd_probe_pkts_a2b_max,zwnd_probe_pkts_a2b_min,zwnd_probe_pkts_b2a_sum,zwnd_probe_pkts_b2a_mean,zwnd_probe_pkts_b2a_max,zwnd_probe_pkts_b2a_min,zwnd_probe_bytes_a2b_sum,zwnd_probe_bytes_a2b_mean,zwnd_probe_bytes_a2b_max,zwnd_probe_bytes_a2b_min,zwnd_probe_bytes_b2a_sum,zwnd_probe_bytes_b2a_mean,zwnd_probe_bytes_b2a_max,zwnd_probe_bytes_b2a_min,outoforder_pkts_a2b_sum,outoforder_pkts_a2b_mean,outoforder_pkts_a2b_max,outoforder_pkts_a2b_min,outoforder_pkts_b2a_sum,outoforder_pkts_b2a_mean,outoforder_pkts_b2a_max,outoforder_pkts_b2a_min,pushed_data_pkts_a2b_sum,pushed_data_pkts_a2b_mean,pushed_data_pkts_a2b_max,pushed_data_pkts_a2b_min,pushed_data_pkts_b2a_sum,pushed_data_pkts_b2a_mean,pushed_data_pkts_b2a_max,pushed_data_pkts_b2a_min,sacks_sent_a2b_sum,sacks_sent_a2b_mean,sacks_sent_a2b_max,sacks_sent_a2b_min,sacks_sent_b2a_sum,sacks_sent_b2a_mean,sacks_sent_b2a_max,sacks_sent_b2a_min,urgent_data_pkts_a2b_sum,urgent_data_pkts_a2b_mean,urgent_data_pkts_a2b_max,urgent_data_pkts_a2b_min,urgent_data_pkts_b2a_sum,urgent_data_pkts_b2a_mean,urgent_data_pkts_b2a_max,urgent_data_pkts_b2a_min,urgent_data_bytes_a2b_sum,urgent_data_bytes_a2b_mean,urgent_data_bytes_a2b_max,urgent_data_bytes_a2b_min,urgent_data_bytes_b2a_sum,urgent_data_bytes_b2a_mean,urgent_data_bytes_b2a_max,urgent_data_bytes_b2a_min,mss_requested_a2b_sum,mss_requested_a2b_mean,mss_requested_a2b_max,mss_requested_a2b_min,mss_requested_b2a_sum,mss_requested_b2a_mean,mss_requested_b2a_max,mss_requested_b2a_min,avg_win_adv_a2b_sum,avg_win_adv_a2b_mean,avg_win_adv_a2b_max,avg_win_adv_a2b_min,avg_win_adv_b2a_sum,avg_win_adv_b2a_mean,avg_win_adv_b2a_max,avg_win_adv_b2a_min,initial_window_bytes_a2b_sum,initial_window_bytes_a2b_mean,initial_window_bytes_a2b_max,initial_window_bytes_a2b_min,initial_window_bytes_b2a_sum,initial_window_bytes_b2a_mean,initial_window_bytes_b2a_max,initial_window_bytes_b2a_min,initial_window_pkts_a2b_sum,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,initial_window_pkts_a2b_sum,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,data_xmit_time_a2b_sum,data_xmit_time_a2b_mean,data_xmit_time_a2b_max,data_xmit_time_a2b_min,data_xmit_time_b2a_sum,data_xmit_time_b2a_mean,data_xmit_time_b2a_max,data_xmit_time_b2a_min,idletime_max_a2b_sum,idletime_max_a2b_mean,idletime_max_a2b_max,idletime_max_a2b_min,idletime_max_b2a_sum,idletime_max_b2a_mean,idletime_max_b2a_max,idletime_max_b2a_min,throughput_a2b_sum,throughput_a2b_mean,throughput_a2b_max,throughput_a2b_min,throughput_b2a_sum,throughput_b2a_mean,throughput_b2a_max,throughput_b2a_min,delta_sum,delta_mean,delta_max,delta_min,SYN_pkts_sent_a2b_sum,SYN_pkts_sent_a2b_mean,SYN_pkts_sent_a2b_max,SYN_pkts_sent_a2b_min,FIN_pkts_sent_a2b_sum,FIN_pkts_sent_a2b_mean,FIN_pkts_sent_a2b_max,FIN_pkts_sent_a2b_min,SYN_pkts_sent_b2a_sum,SYN_pkts_sent_b2a_mean,SYN_pkts_sent_b2a_max,SYN_pkts_sent_b2a_min,FIN_pkts_sent_b2a_sum,FIN_pkts_sent_b2a_mean,FIN_pkts_sent_b2a_max,FIN_pkts_sent_b2a_min,adv_wind_scale_a2b_mean,adv_wind_scale_b2a_mean,max_segm_size_a2b_max,max_segm_size_b2a_max,max_win_adv_a2b_max,max_win_adv_b2a_max,min_segm_size_a2b_min,min_segm_size_b2a_min,min_win_adv_a2b_min,min_win_adv_b2a_min
107,11.8888888889,45,2,95,10.5555555556,44,1,97,10.7777777778,44,1,95,10.5555555556,44,1,75,8.33333333333,42,1,20,2.22222222222,4,0,4,0.444444444444,2,0,5,0.555555555556,1,0,4,0.444444444444,2,0,5,0.555555555556,1,0,2,0.222222222222,1,0,5,0.555555555556,1,0,2676,297.333333333,733,0,80210,8912.22222222,59366,0,22,2.44444444444,4,0,64,7.11111111111,41,0,3665,407.222222222,917,0,82305,9145.0,59366,0,7,0.777777777778,1,0,4,0.444444444444,2,0,990,110.0,286,0,2097,233.0,2095,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,22,2.44444444444,4,0,16,1.77777777778,4,0,4,0.444444444444,2,0,5,0.555555555556,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,13140,1460.0,1460,1460,13090,1454.44444444,1460,1410,824553,91617.0,144292,43808,263405,29267.2222222,30805,26847,1331,147.888888889,286,0,54358,6039.77777778,36200,0,8,0.888888888889,1,0,8,0.888888888889,1,0,8.647,0.960777777778,3.409,0.0,7.562,0.840222222222,3.042,0.0,17263.7,1918.18888889,2624.5,503.9,15880.0,1764.44444444,2707.1,310.1,1002,111.333333333,394,0,24093,2677.0,16207,0,5.21291828156,0.579213142395,0.579213142395,0.579213142395,9,1.0,1,1,0,0.0,0,0,9,1.0,1,1,0,0.0,0,0,6.0,8.0,423,1448,206336,31488,0,0,87616,26847
107,13.375,43,2,94,11.75,43,1,96,12.0,43,1,94,11.75,43,1,79,9.875,42,1,11,1.375,4,0,9,1.125,2,0,0,0.0,0,0,9,1.125,2,0,0,0.0,0,0,5,0.625,1,0,0,0.0,0,0,2550,318.75,733,0,81506,10188.25,59366,0,16,2.0,4,0,66,8.25,42,0,2550,318.75,733,0,81506,10188.25,59366,0,4,0.5,1,0,9,1.125,2,0,4,0.5,1,0,9,1.125,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,16,2.0,4,0,17,2.125,4,0,9,1.125,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,10220,1277.5,1460,0,10170,1271.25,1460,0,588095,73511.875,93218,4130,203795,25474.375,31573,122,1129,141.125,286,0,8638,1079.75,1448,0,7,0.875,1,0,7,0.875,1,0,8.304,1.038,2.244,0.0,6.342,0.79275,1.252,0.0,7732.4,966.55,1538.1,67.4,6362.7,795.3375,1539.9,1.4,929,116.125,263,0,35353,4419.125,27696,0,0.539142608643,0.0673928260803,0.0673928260803,0.0673928260803,8,1.0,1,1,0,0.0,0,0,8,1.0,1,1,0,0.0,0,0,5.25,7.0,423,1448,105024,32256,0,0,3224,122
25,4.16666666667,6,1,8,1.33333333333,2,0,11,1.83333333333,3,0,8,1.33333333333,2,0,8,1.33333333333,2,0,0,0.0,0,0,4,0.666666666667,1,0,0,0.0,0,0,4,0.666666666667,1,0,0,0.0,0,0,4,0.666666666667,1,0,0,0.0,0,0,442,73.6666666667,184,0,0,0.0,0,0,3,0.5,1,0,0,0.0,0,0,442,73.6666666667,184,0,0,0.0,0,0,8,1.33333333333,2,0,4,0.666666666667,1,0,8,1.33333333333,2,0,4,0.666666666667,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3,0.5,1,0,0,0.0,0,0,4,0.666666666667,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,5790,965.0,1460,0,297540,49590.0,65535,35046,108501,18083.5,27960,0,442,73.6666666667,184,0,0,0.0,0,0,3,0.5,1,0,3,0.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9005.0,1500.83333333,2001.3,428.0,884.6,221.15,223.5,220.0,111.0,27.75,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,1,1,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,6.0,5.33333333333,184,0,87616,27960,0,0,65535,0
88,11.0,42,1,118,14.75,82,1,81,10.125,42,1,118,14.75,82,1,65,8.125,41,0,10,1.25,3,0,41,5.125,40,0,0,0.0,0,0,1,0.125,1,0,0,0.0,0,0,2,0.25,1,0,0,0.0,0,0,3572,446.5,1761,0,75223,9402.875,59366,0,14,1.75,4,0,100,12.5,82,0,3572,446.5,1761,0,134589,16823.625,118732,0,2,0.25,1,0,44,5.5,41,0,2,0.25,1,0,59369,7421.125,59366,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,14,1.75,4,0,14,1.75,3,0,41,5.125,40,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,7300,912.5,1460,0,7250,906.25,1460,0,466010,58251.25,94464,362,154727,19340.875,32292,126,989,123.625,286,0,12870,1608.75,3493,0,6,0.75,1,0,6,0.75,1,0,1.16,0.145,0.578,0.0,4.497,0.562125,3.119,0.0,8684.2,1085.525,3065.0,71.7,6901.7,862.7125,2315.3,32.4,4093,511.625,1813,0,41759,5219.875,17170,0,0.314342498779,0.0392928123474,0.0392928123474,0.0392928123474,0,0.0,0,0,8,1.0,1,1,0,0.0,0,0,0,0.0,0,0,3.75,5.0,1349,1448,101632,35328,0,0,362,126
16,2.66666666667,3,1,19,3.16666666667,17,0,1,0.166666666667,1,0,19,3.16666666667,17,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,286,47.6666666667,286,0,24616,4102.66666667,24616,0,1,0.166666666667,1,0,17,2.83333333333,17,0,286,47.6666666667,286,0,24616,4102.66666667,24616,0,10,1.66666666667,2,0,1,0.166666666667,1,0,10,1.66666666667,2,0,1,0.166666666667,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2,0.333333333333,2,0,1,0.166666666667,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,7300,1216.66666667,1460,0,1410,235.0,1410,0,330899,55149.8333333,65535,3224,28082,4680.33333333,27960,0,286,47.6666666667,286,0,0,0.0,0,0,1,0.166666666667,1,0,1,0.166666666667,1,0,0.0,0.0,0.0,0.0,0.247,0.0411666666667,0.247,0.0,8286.1,1381.01666667,3050.7,688.2,3334.2,1667.1,2072.9,1261.3,293,48.8333333333,293,0,25176,4196.0,25176,0,4.19313669205,0.698856115341,0.698856115341,0.698856115341,18,3.0,3,3,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,5.0,1.33333333333,286,1448,65535,27960,0,0,3224,0
14,2.33333333333,3,1,0,0.0,0,0,1,0.166666666667,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,286,47.6666666667,286,0,0,0.0,0,0,1,0.166666666667,1,0,0,0.0,0,0,286,47.6666666667,286,0,0,0.0,0,0,8,1.33333333333,2,0,0,0.0,0,0,8,1.33333333333,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,1,0.166666666667,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,7300,1216.66666667,1460,0,0,0.0,0,0,333841,55640.1666667,65535,6166,0,0.0,0,0,286,47.6666666667,286,0,0,0.0,0,0,1,0.166666666667,1,0,1,0.166666666667,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5348.2,891.366666667,1323.3,674.3,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03481292725,1.00580215454,1.00580215454,1.00580215454,12,2.0,2,2,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,5.0,0.0,286,0,65535,0,0,0,6166,0
56,8.0,24,3,38,5.42857142857,23,1,43,6.14285714286,24,1,38,5.42857142857,23,1,35,5.0,23,0,1,0.142857142857,1,0,16,2.28571428571,12,0,0,0.0,0,0,8,1.14285714286,4,0,0,0.0,0,0,3,0.428571428571,1,0,0,0.0,0,0,1115,159.285714286,310,0,31043,4434.71428571,27512,0,7,1.0,2,0,27,3.85714285714,23,0,1115,159.285714286,310,0,36835,5262.14285714,33304,0,6,0.857142857143,2,0,8,1.14285714286,4,0,6,0.857142857143,2,0,5796,828.0,5792,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3,0.428571428571,3,0,7,1.0,2,0,2,0.285714285714,1,0,16,2.28571428571,12,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,7300,1042.85714286,1460,0,7250,1035.71428571,1460,0,277787,39683.8571429,90768,486,136821,19545.8571429,29184,123,989,141.285714286,286,0,1398,199.714285714,1398,0,6,0.857142857143,1,0,6,0.857142857143,1,0,1.183,0.169,1.183,0.0,2.209,0.315571428571,2.186,0.0,9412.3,1344.61428571,2425.1,765.8,3261.6,465.942857143,1204.0,0.0,504,72.0,91,0,8117,1159.57142857,7107,0,5.9829223156,0.854703187943,0.854703187943,0.854703187943,0,0.0,0,0,7,1.0,1,1,0,0.0,0,0,7,1.0,1,1,4.28571428571,5.71428571429,286,1448,96000,29184,0,0,1460,123
30,5.0,6,3,12,2.0,3,1,12,2.0,3,0,12,2.0,3,1,9,1.5,2,0,0,0.0,0,0,4,0.666666666667,1,0,0,0.0,0,0,4,0.666666666667,1,0,0,0.0,0,0,4,0.666666666667,1,0,0,0.0,0,0,442,73.6666666667,184,0,0,0.0,0,0,3,0.5,1,0,0,0.0,0,0,442,73.6666666667,184,0,0,0.0,0,0,12,2.0,2,2,6,1.0,2,0,12,2.0,2,2,6,1.0,2,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3,0.5,1,0,0,0.0,0,0,4,0.666666666667,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,8760,1460.0,1460,1460,8710,1451.66666667,1460,1410,258289,43048.1666667,65535,35046,139728,23288.0,27960,4380,442,73.6666666667,184,0,0,0.0,0,0,3,0.5,1,0,3,0.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7416.6,1236.1,2512.9,620.3,5662.3,943.716666667,2897.5,372.0,249,41.5,103,0,0,0.0,0,0,6.01031970978,1.00171995163,1.00171995163,1.00171995163,18,3.0,3,3,0,0.0,0,0,12,2.0,2,2,0,0.0,0,0,6.0,7.0,184,0,87616,27960,0,0,65535,4380
23,4.6,6,2,32,6.4,25,1,13,2.6,3,2,32,6.4,25,1,8,1.6,2,1,0,0.0,0,0,4,0.8,1,0,0,0.0,0,0,3,0.6,1,0,0,0.0,0,0,4,0.8,1,0,0,0.0,0,0,805,161.0,286,129,36200,7240.0,36200,0,5,1.0,1,1,25,5.0,25,0,805,161.0,286,129,36200,7240.0,36200,0,6,1.2,2,0,3,0.6,1,0,6,1.2,2,0,3,0.6,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,5,1.0,1,1,0,0.0,0,0,4,0.8,1,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,5840,1168.0,1460,0,5840,1168.0,1460,0,196000,39200.0,58410,6166,107518,21503.6,26847,130,805,161.0,286,129,0,0.0,0,0,5,1.0,1,1,5,1.0,1,1,0.0,0.0,0.0,0.0,3.09,0.618,3.09,0.0,5790.5,1158.1,3476.0,390.1,3454.8,690.96,2140.2,320.3,580,116.0,187,82,10414,2082.8,10414,0,3.53860616684,0.707721233368,0.707721233368,0.707721233368,5,1.0,1,1,0,0.0,0,0,5,1.0,1,1,0,0.0,0,0,4.8,6.4,286,1448,87616,26847,129,0,6166,130
17,4.25,9,2,11,2.75,11,0,11,2.75,9,0,11,2.75,11,0,9,2.25,9,0,0,0.0,0,0,9,2.25,9,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3,0.75,3,0,0,0.0,0,0,481,120.25,481,0,15928,3982.0,15928,0,2,0.5,2,0,11,2.75,11,0,962,240.5,962,0,15928,3982.0,15928,0,5,1.25,2,0,0,0.0,0,0,485,121.25,481,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,6,1.5,6,0,2,0.5,2,0,0,0.0,0,0,9,2.25,9,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,2920,730.0,1460,0,0,0.0,0,0,138871,34717.75,65535,1635,130,32.5,130,0,481,120.25,481,0,0,0.0,0,0,1,0.25,1,0,1,0.25,1,0,0.994,0.2485,0.994,0.0,2.28,0.57,2.28,0.0,7228.8,1807.2,3067.0,710.1,1928.7,1928.7,1928.7,1928.7,484,121.0,484,0,5192,1298.0,5192,0,3.97408390045,0.993520975113,0.993520975113,0.993520975113,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3.0,0.0,481,1448,65535,130,0,0,1635,0
