total_packets_a2b_mean,total_packets_a2b_max,total_packets_a2b_min,total_packets_b2a_mean,total_packets_b2a_max,total_packets_b2a_min,ack_pkts_sent_a2b_mean,ack_pkts_sent_a2b_max,ack_pkts_sent_a2b_min,ack_pkts_sent_b2a_mean,ack_pkts_sent_b2a_max,ack_pkts_sent_b2a_min,pure_acks_sent_a2b_mean,pure_acks_sent_a2b_max,pure_acks_sent_a2b_min,pure_acks_sent_b2a_mean,pure_acks_sent_b2a_max,pure_acks_sent_b2a_min,sack_pkts_sent_a2b_mean,sack_pkts_sent_a2b_max,sack_pkts_sent_a2b_min,sack_pkts_sent_b2a_mean,sack_pkts_sent_b2a_max,sack_pkts_sent_b2a_min,dsack_pkts_sent_a2b_mean,dsack_pkts_sent_a2b_max,dsack_pkts_sent_a2b_min,dsack_pkts_sent_b2a_mean,dsack_pkts_sent_b2a_max,dsack_pkts_sent_b2a_min,max_sack_blks/ack_a2b_mean,max_sack_blks/ack_a2b_max,max_sack_blks/ack_a2b_min,max_sack_blks/ack_b2a_mean,max_sack_blks/ack_b2a_max,max_sack_blks/ack_b2a_min,unique_bytes_sent_a2b_mean,unique_bytes_sent_a2b_max,unique_bytes_sent_a2b_min,unique_bytes_sent_b2a_mean,unique_bytes_sent_b2a_max,unique_bytes_sent_b2a_min,actual_data_pkts_a2b_mean,actual_data_pkts_a2b_max,actual_data_pkts_a2b_min,actual_data_pkts_b2a_mean,actual_data_pkts_b2a_max,actual_data_pkts_b2a_min,actual_data_bytes_a2b_mean,actual_data_bytes_a2b_max,actual_data_bytes_a2b_min,actual_data_bytes_b2a_mean,actual_data_bytes_b2a_max,actual_data_bytes_b2a_min,rexmt_data_pkts_a2b_mean,rexmt_data_pkts_a2b_max,rexmt_data_pkts_a2b_min,rexmt_data_pkts_b2a_mean,rexmt_data_pkts_b2a_max,rexmt_data_pkts_b2a_min,rexmt_data_bytes_a2b_mean,rexmt_data_bytes_a2b_max,rexmt_data_bytes_a2b_min,rexmt_data_bytes_b2a_mean,rexmt_data_bytes_b2a_max,rexmt_data_bytes_b2a_min,zwnd_probe_pkts_a2b_mean,zwnd_probe_pkts_a2b_max,zwnd_probe_pkts_a2b_min,zwnd_probe_pkts_b2a_mean,zwnd_probe_pkts_b2a_max,zwnd_probe_pkts_b2a_min,zwnd_probe_bytes_a2b_mean,zwnd_probe_bytes_a2b_max,zwnd_probe_bytes_a2b_min,zwnd_probe_bytes_b2a_mean,zwnd_probe_bytes_b2a_max,zwnd_probe_bytes_b2a_min,outoforder_pkts_a2b_mean,outoforder_pkts_a2b_max,outoforder_pkts_a2b_min,outoforder_pkts_b2a_mean,outoforder_pkts_b2a_max,outoforder_pkts_b2a_min,pushed_data_pkts_a2b_mean,pushed_data_pkts_a2b_max,pushed_data_pkts_a2b_min,pushed_data_pkts_b2a_mean,pushed_data_pkts_b2a_max,pushed_data_pkts_b2a_min,sacks_sent_a2b_mean,sacks_sent_a2b_max,sacks_sent_a2b_min,sacks_sent_b2a_mean,sacks_sent_b2a_max,sacks_sent_b2a_min,urgent_data_pkts_a2b_mean,urgent_data_pkts_a2b_max,urgent_data_pkts_a2b_min,urgent_data_pkts_b2a_mean,urgent_data_pkts_b2a_max,urgent_data_pkts_b2a_min,urgent_data_bytes_a2b_mean,urgent_data_bytes_a2b_max,urgent_data_bytes_a2b_min,urgent_data_bytes_b2a_mean,urgent_data_bytes_b2a_max,urgent_data_bytes_b2a_min,mss_requested_a2b_mean,mss_requested_a2b_max,mss_requested_a2b_min,mss_requested_b2a_mean,mss_requested_b2a_max,mss_requested_b2a_min,avg_win_adv_a2b_mean,avg_win_adv_a2b_max,avg_win_adv_a2b_min,avg_win_adv_b2a_mean,avg_win_adv_b2a_max,avg_win_adv_b2a_min,initial_window_bytes_a2b_mean,initial_window_bytes_a2b_max,initial_window_bytes_a2b_min,initial_window_bytes_b2a_mean,initial_window_bytes_b2a_max,initial_window_bytes_b2a_min,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,initial_window_pkts_a2b_mean,initial_window_pkts_a2b_max,initial_window_pkts_a2b_min,data_xmit_time_a2b_mean,data_xmit_time_a2b_max,data_xmit_time_a2b_min,data_xmit_time_b2a_mean,data_xmit_time_b2a_max,data_xmit_time_b2a_min,idletime_max_a2b_mean,idletime_max_a2b_max,idletime_max_a2b_min,idletime_max_b2a_mean,idletime_max_b2a_max,idletime_max_b2a_min,throughput_a2b_mean,throughput_a2b_max,throughput_a2b_min,throughput_b2a_mean,throughput_b2a_max,throughput_b2a_min,delta_mean,delta_max,delta_min,adv_wind_scale_a2b_mean,adv_wind_scale_b2a_mean,max_segm_size_a2b_max,max_segm_size_b2a_max,max_win_adv_a2b_max,max_win_adv_b2a_max,min_segm_size_a2b_min,min_segm_size_b2a_min,min_win_adv_a2b_min,min_win_adv_b2a_min
4.0,4,4,3.0,3,3,3.0,3,3,3.0,3,3,2.0,2,2,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,179.0,179,179,83.0,83,83,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,87616.0,87616,87616,43520.0,43520,43520,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,87.0,92.3,92.3,92.3,2416.0,2416,2416,1120.0,1120,1120,0.0741009712219,0.0741009712219,0.0741009712219,6.0,7.0,179,83,87616,43520,179,83,87616,43520
6.0,6,6,4.0,4,4,4.0,4,4,4.0,4,4,3.0,3,3,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1,1,0.0,0,0,1.0,1,1,0.0,0,0,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,1.0,1,1,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,87616.0,87616,87616,43520.0,43520,43520,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,51.0,56.9,56.9,56.9,2865.0,2865,2865,1329.0,1329,1329,0.0624749660492,0.0624749660492,0.0624749660492,6.0,7.0,179,83,87616,43520,179,83,87616,43520
4.0,4,4,3.0,3,3,3.0,3,3,3.0,3,3,2.0,2,2,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,179.0,179,179,83.0,83,83,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,87616.0,87616,87616,43520.0,43520,43520,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,59.9,59.9,59.9,61.4,61.4,61.4,15613.0,15613,15613,7239.0,7239,7239,0.114650011063,0.114650011063,0.114650011063,6.0,7.0,179,83,87616,43520,179,83,87616,43520
6.75,11,1,5.5,9,1,6.0,10,1,5.5,9,1,4.0,7,0,1.0,1,1,1.0,4,0,0.0,0,0,0.0,0,0,0.0,0,0,0.25,1,0,0.0,0,0,431.75,774,0,2575.25,5109,0,1.75,3,0,3.75,7,0,431.75,774,0,2575.25,5109,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.25,1,0,1.75,3,0,2.25,4,0,1.0,4,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1095.0,1460,0,1038.0,1386,0,67984.75,95340,81,24897.25,43520,1541,158.75,228,0,2439.75,4838,0,0.75,1,0,0.75,1,0,0.1475,0.329,0.0,0.09425,0.222,0.0,664.5,884.3,133.8,650.475,891.1,0.0,2965.25,8460,0,6593.75,11967,0,0.13384103775,0.13384103775,0.13384103775,4.5,5.75,420,1288,100480,43520,0,0,81,1541
4.0,4,4,3.0,3,3,3.0,3,3,3.0,3,3,2.0,2,2,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,179.0,179,179,83.0,83,83,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,87616.0,87616,87616,43520.0,43520,43520,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,21.2,21.2,21.2,22.4,22.4,22.4,13248.0,13248,13248,6143.0,6143,6143,0.0135109424591,0.0135109424591,0.0135109424591,6.0,7.0,179,83,87616,43520,179,83,87616,43520
4.0,4,4,3.0,3,3,3.0,3,3,3.0,3,3,2.0,2,2,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,179.0,179,179,83.0,83,83,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,87616.0,87616,87616,43520.0,43520,43520,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,239.3,239.3,239.3,240.7,240.7,240.7,14173.0,14173,14173,6572.0,6572,6572,0.0126299858093,0.0126299858093,0.0126299858093,6.0,7.0,179,83,87616,43520,179,83,87616,43520
4.0,4,4,3.0,3,3,3.0,3,3,3.0,3,3,2.0,2,2,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,179.0,179,179,83.0,83,83,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,87616.0,87616,87616,43520.0,43520,43520,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,792.4,792.4,792.4,796.8,796.8,796.8,11593.0,11593,11593,5376.0,5376,5376,0.0154402256012,0.0154402256012,0.0154402256012,6.0,7.0,179,83,87616,43520,179,83,87616,43520
4.0,4,4,3.0,3,3,3.0,3,3,3.0,3,3,2.0,2,2,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,179.0,179,179,83.0,83,83,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,87616.0,87616,87616,43520.0,43520,43520,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,15.5,15.5,15.5,17.6,17.6,17.6,13686.0,13686,13686,6346.0,6346,6346,0.0130789279938,0.0130789279938,0.0130789279938,6.0,7.0,179,83,87616,43520,179,83,87616,43520
4.0,4,4,3.0,3,3,3.0,3,3,3.0,3,3,2.0,2,2,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,179.0,179,179,83.0,83,83,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1.0,1,1,1.0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1380.0,1380,1380,87616.0,87616,87616,43520.0,43520,43520,179.0,179,179,83.0,83,83,1.0,1,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,71.7,71.7,71.7,73.0,73.0,73.0,13707.0,13707,13707,6356.0,6356,6356,0.0130591392517,0.0130591392517,0.0130591392517,6.0,7.0,179,83,87616,43520,179,83,87616,43520
3.0,4,2,2.0,3,1,2.0,3,1,2.0,3,1,1.5,2,1,0.5,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,89.5,179,0,41.5,83,0,0.5,1,0,0.5,1,0,89.5,179,0,41.5,83,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.5,1,0,0.5,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1460.0,1460,1460,1383.0,1386,1380,65712.0,87616,43808,36240.0,43520,28960,89.5,179,0,41.5,83,0,0.5,1,0,0.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1100.6,2148.6,52.6,1075.85,2149.9,1.8,3726.5,7453,0,1728.0,3456,0,0.0687699317932,0.0687699317932,0.0687699317932,6.0,6.0,179,83,87616,43520,0,0,87616,28960
