#30 args remaining, starting with 'Spotify01.pcapng',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Ostermann's tcptrace -- version 6.6.7 -- Thu Nov  4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify01.pcapng' (1 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify02.pcapng' (2 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify03.pcapng' (3 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify04.pcapng' (4 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify05.pcapng' (5 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify06.pcapng' (6 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify07.pcapng' (7 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify08.pcapng' (8 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify09.pcapng' (9 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify10.pcapng' (10 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify11.pcapng' (11 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify12.pcapng' (12 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify13.pcapng' (13 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify14.pcapng' (14 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify15.pcapng' (15 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify16.pcapng' (16 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify17.pcapng' (17 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify18.pcapng' (18 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify19.pcapng' (19 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify20.pcapng' (20 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify21.pcapng' (21 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify22.pcapng' (22 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify23.pcapng' (23 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify24.pcapng' (24 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify25.pcapng' (25 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify26.pcapng' (26 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify27.pcapng' (27 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify28.pcapng' (28 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify29.pcapng' (29 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Running file 'Spotify30.pcapng' (30 of 30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#3924 packets seen, 3769 TCP packets traced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#elapsed wallclock time: 0:00:01.340502, 2927 pkts/sec analyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#trace files elapsed time: 0:24:32.274713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TCP connection info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#202 TCP connections traced:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,192.168.2.3,edge-star-shv-01-dft4.facebook.com,33625,443,1492099795,1492099795,10,8,0,0,9,8,6,2,0,0,0,0,0,0,798,4809,3,5,798,4809,0,0,0,0,0,0,0,0,0,0,3,3,            1/0,            1/0,            Y/Y,            Y/Y,6,8,              Y,              Y,0,0,0,0,0,0,1460,1410,488,1398,126,258,265,961,101632,30208,87616,29184,0,0,94464,29476,184,1398,1,1,             NA,             NA,             NA,             NA,0,0,0,0,0.156,0.252,1471854.2,1471892.9,0,0,1898,11437
2,192.168.2.3,47.127.154.104.bc.googleusercontent.com,41160,443,1492099796,1492099797,11,8,0,0,10,8,6,1,0,0,0,0,0,0,906,4772,4,6,906,4772,0,0,0,0,0,0,0,0,0,0,4,4,            1/0,            1/0,            Y/Y,            Y/Y,6,7,              Y,              Y,0,0,0,0,0,0,1460,1240,310,1228,126,274,226,795,102336,27776,87616,25728,0,0,94502,26166,187,2456,1,2,             NA,             NA,             NA,             NA,0,0,0,0,0.198,0.187,1471077.2,1471109.9,0,0,2871,15121
3,192.168.2.3,178.162.219.58,44078,443,1492099796,1492099797,12,10,2,2,9,8,4,0,0,0,0,0,0,0,1467,4027,4,6,1467,4027,0,0,0,0,0,0,0,0,0,0,4,4,            1/1,            1/1,            Y/Y,            Y/Y,6,10,              Y,              Y,0,0,0,0,0,0,1460,1460,1130,1448,31,31,366,671,99200,32768,87616,30720,0,0,77218,24576,180,2896,1,2,1436,3996,1.84467E+19,1.84467E+19,0,0,0,0,0.502,0.35,163.3,230.2,0,0,1642,4507
4,192.168.2.3,a23-43-230-156.deploy.static.akamaitechnologies.com,49815,443,1492099796,1492099797,15,13,3,2,11,11,6,2,0,0,0,0,0,0,1454,5532,4,7,1454,5532,0,0,0,0,0,0,0,0,0,0,4,5,            1/1,            1/1,            Y/Y,            Y/Y,6,5,              Y,              Y,0,0,0,0,0,0,1460,1460,1107,1448,31,31,363,790,99200,32928,87616,30048,0,0,75049,26000,190,4926,1,4,1423,5501,1.84467E+19,1.84467E+19,0,0,0,0,0.151,0.104,45.9,68.1,0,0,6215,23647
5,192.168.2.3,178.162.219.58,33366,443,1492099796,1492099798,9,8,1,1,8,7,2,2,0,1,0,1,0,1,1780,403,5,3,1831,403,1,0,51,0,0,0,0,0,0,0,5,3,            1/0,            1/1,            Y/Y,            Y/Y,6,10,              Y,              Y,0,1,0,0,0,0,1460,1460,1181,235,31,31,366,134,88704,32768,87616,30720,0,0,76800,27501,517,137,1,1,             NA,404,             NA,1,0,0,0,0,1.452,1.227,691,996.4,0,0,940,213
6,192.168.2.3,178.162.219.58,51000,443,1492099798,1492099800,11,8,2,1,9,7,4,2,1,0,0,0,1,0,1765,403,4,3,1765,403,0,0,0,0,0,0,0,0,0,1,4,3,            1/0,            1/1,            Y/Y,            Y/Y,6,10,              Y,              Y,1,0,0,0,0,0,1460,1460,1166,235,31,31,441,134,88704,32768,87616,30720,0,0,70310,27501,517,137,1,1,             NA,403,             NA,0,0,0,0,0,0.825,0.579,354,329,0,0,1335,305
7,iq-in-f188.1e100.net,192.168.2.3,5228,34129,1492099801,1492099801,2,1,0,0,2,1,1,0,0,0,0,0,0,0,23,27,1,1,23,27,0,0,0,0,0,0,0,0,0,0,1,1,            0/0,            0/0,            N/Y,            N/Y,0,0,              N,              N,0,0,0,0,0,0,0,0,23,27,23,27,22,26,358,1591,358,1591,0,0,358,1591,23,0,1,0,             NA,             NA,             NA,             NA,0,0,0,0,0,0,1466339.5,1466503.8,0,0,107,125
8,192.168.2.3,edge-star-shv-01-dft4.facebook.com,39134,443,1492099837,1492099837,10,8,0,0,9,8,6,2,0,0,0,0,0,0,798,4810,3,5,798,4810,0,0,0,0,0,0,0,0,0,0,3,3,            1/0,            1/0,            Y/Y,            Y/Y,6,8,              Y,              Y,0,0,0,0,0,0,1460,1410,488,1398,126,258,265,961,101632,30208,87616,29184,0,0,94464,29476,184,1398,1,1,             NA,             NA,             NA,             NA,0,0,0,0,0.126,0.224,1430147.4,1430187.1,0,0,2025,12206
9,192.168.2.3,47.127.154.104.bc.googleusercontent.com,53576,443,1492099837,1492099838,11,8,0,0,10,8,6,1,0,0,0,0,0,0,906,4772,4,6,906,4772,0,0,0,0,0,0,0,0,0,0,4,4,            1/0,            1/0,            Y/Y,            Y/Y,6,7,              Y,              Y,0,0,0,0,0,0,1460,1240,310,1228,126,274,226,795,102336,27776,87616,25728,0,0,94502,26166,187,1228,1,1,             NA,             NA,             NA,             NA,0,0,0,0,0.202,0.194,1429397.5,1429438,0,0,2769,14587
10,192.168.2.3,178.162.219.58,59712,443,1492099837,1492099838,12,9,1,2,10,7,5,0,0,0,0,0,0,0,1467,4027,4,6,1467,4027,0,0,0,0,0,0,0,0,0,0,4,4,            1/1,            1/1,            Y/Y,            Y/Y,6,10,              Y,              Y,0,0,0,0,0,0,1460,1460,1130,1448,31,31,366,671,99200,32768,87616,30720,0,0,86237,23552,180,1448,1,1,1436,3996,1.84467E+19,1.84467E+19,0,0,0,0,0.516,0.356,159.4,197.4,0,0,1759,4829
11,192.168.2.3,a104-70-196-64.deploy.static.akamaitechnologies.com,38563,443,1492099838,1492099838,12,11,2,1,10,10,5,1,0,0,0,0,0,0,1446,5532,4,7,1446,5532,0,0,0,0,0,0,0,0,0,0,4,5,            1/0,            1/1,            Y/Y,            Y/Y,6,5,              Y,              Y,0,0,0,0,0,0,1460,1460,1099,1448,31,31,361,790,99200,32928,87616,30048,0,0,77480,27907,190,1448,1,1,             NA,5501,             NA,1.84467E+19,0,0,0,0,0.241,0.167,72.8,91.6,0,0,4052,15503
12,192.168.2.3,178.162.219.58,33410,443,1492099838,1492099839,8,8,1,1,7,7,2,2,0,0,0,0,0,0,1780,403,4,3,1780,403,0,0,0,0,0,0,0,0,0,0,4,3,            1/0,            1/1,            Y/Y,            Y/Y,6,10,              Y,              Y,0,0,0,0,0,0,1460,1460,1181,235,31,31,444,134,88704,32768,87616,30720,0,0,75254,27501,517,137,1,1,             NA,404,             NA,1,0,0,0,0,0.6,0.445,292.2,234.6,0,0,1938,439
13,192.168.2.3,178.162.219.58,43539,443,1492099839,1492099840,8,8,1,1,7,7,2,2,0,0,0,0,0,0,1765,403,4,3,1765,403,0,0,0,0,0,0,0,0,0,0,4,3,            1/0,            1/1,            Y/Y,            Y/Y,6,10,              Y,              Y,0,0,0,0,0,0,1460,1460,1166,235,31,31,441,134,88704,32768,87616,30720,0,0,75254,27501,517,137,1,1,             NA,404,             NA,1,0,0,0,0,0.526,0.377,202.6,216.4,0,0,2074,474
