#30 args remaining, starting with 'Venmo01.pcapng'
#Ostermann's tcptrace -- version 6.6.7 -- Thu Nov  4, 2004

#Running file 'Venmo01.pcapng' (1 of 30)
#Running file 'Venmo02.pcapng' (2 of 30)
#Running file 'Venmo03.pcapng' (3 of 30)
#Running file 'Venmo04.pcapng' (4 of 30)
#Running file 'Venmo05.pcapng' (5 of 30)
#Running file 'Venmo06.pcapng' (6 of 30)
#Running file 'Venmo07.pcapng' (7 of 30)
#Running file 'Venmo08.pcapng' (8 of 30)
#Running file 'Venmo09.pcapng' (9 of 30)
#Running file 'Venmo10.pcapng' (10 of 30)
#Running file 'Venmo11.pcapng' (11 of 30)
#Running file 'Venmo12.pcapng' (12 of 30)
#Running file 'Venmo13.pcapng' (13 of 30)
#Running file 'Venmo14.pcapng' (14 of 30)
#Running file 'Venmo15.pcapng' (15 of 30)
#Running file 'Venmo16.pcapng' (16 of 30)
#Running file 'Venmo17.pcapng' (17 of 30)
#Running file 'Venmo18.pcapng' (18 of 30)
#Running file 'Venmo19.pcapng' (19 of 30)
#Running file 'Venmo20.pcapng' (20 of 30)
#Running file 'Venmo21.pcapng' (21 of 30)
#Running file 'Venmo22.pcapng' (22 of 30)
#Running file 'Venmo23.pcapng' (23 of 30)
#Running file 'Venmo24.pcapng' (24 of 30)
#Running file 'Venmo25.pcapng' (25 of 30)
#Running file 'Venmo26.pcapng' (26 of 30)
#Running file 'Venmo27.pcapng' (27 of 30)
#Running file 'Venmo28.pcapng' (28 of 30)
#Running file 'Venmo29.pcapng' (29 of 30)
#Running file 'Venmo30.pcapng' (30 of 30)
#12470 packets seen, 12294 TCP packets traced
#elapsed wallclock time: 0:00:02.141246, 5823 pkts/sec analyzed
#trace files elapsed time: 0:11:06.562533
#TCP connection info:
#317 TCP connections traced:
conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,server-54-230-7-140.dfw3.r.cloudfront.net,44013,443,1492102248.487405 , 1492102251.963896 ,             16,             12,              0,              1,             15,             11,              9,              2,              0,              1,              0,              1,              0,              1,            752,           5208,              5,              6,            783,           5208,              1,              1,             32,              1,              0,              0,              0,              0,              0,              0,              5,              3,            1/2,            1/2,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              1,              0,              0,              0,              0,           1460,           1460,            408,           1448,             31,            201,            156,            867,         102080,          31232,          87616,          30208,              0,              0,          97651,          27834,            187,           1448,              1,              1,            752,           5209,              0,              1,              0,              0,              0,              0,          2.733,          0.196,         2192.5,         2564.4,              0,              0,            216,           1498,
2,192.168.2.3,ec2-54-225-216-231.compute-1.amazonaws.com,56997,443,1492102248.505198 , 1492102252.340104 ,             18,             13,              3,              1,             14,             12,              8,              1,              0,              0,              0,              0,              0,              0,           1275,           7203,              5,              8,           1306,           7203,              1,              1,             32,              1,              0,              0,              0,              0,              0,              0,              5,              5,            1/2,            1/2,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            928,           1448,             31,             31,            261,            900,         102080,          32256,          87616,          30464,              0,              0,          79988,          28522,            190,           1448,              1,              1,           1276,           7172,              1,18446744073709551585,              0,              0,              0,              0,          3.321,          3.227,         2224.2,         2708.3,              0,              0,            332,           1878,
3,192.168.2.3,edge-star-shv-01-dft4.facebook.com,43258,443,1492102248.578557 , 1492102250.800741 ,             16,             14,              0,              0,             15,             14,              9,              5,              1,              0,              1,              0,              1,              0,           1282,           6110,              6,              8,           1770,           7166,              1,              1,            488,           1056,              0,              0,              0,              0,              0,              0,              6,              6,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1410,            488,           1398,            126,            258,            294,            895,         107200,          32256,          87616,          29184,              0,              0,          97881,          30286,            184,           2796,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.776,          2.073,       664196.2,       664236.5,              0,              0,            577,           2750,
4,192.168.2.3,den02s01-in-f3.1e100.net,50622,443,1492102248.650693 , 1492102297.730663 ,              2,              0,              0,              0,              2,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              0,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,            0/2,            0/0,            N/Y,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           1369,              0,           1369,              0,              0,              0,           1369,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,       617266.2,             NA,              0,              0,              0,              0,
5,192.168.2.3,api.braintreegateway.com,50848,443,1492102248.748010 , 1492102253.35366 ,             16,             10,              4,              0,             11,             10,              5,              1,              0,              1,              0,              1,              0,              1,            683,           4620,              5,              7,            714,           4651,              1,              1,             32,             32,              0,              0,              0,              0,              0,              0,              5,              5,            1/2,            1/2,            Y/Y,            Y/Y,              6,              6,              Y,              Y,              0,              1,              0,              0,              0,              0,           1460,           1320,            336,           1448,             31,             31,            142,            664,         102080,          16640,          87616,          15552,              0,              0,          70621,          16156,            190,           1448,              1,              1,            684,           4620,              1,              0,              0,              0,              0,              0,          3.602,          3.998,         2768.7,         3351.2,              0,              0,            159,           1078,
6,192.168.2.3,den03s09-in-f8.1e100.net,39794,443,1492102249.81031 , 1492102422.564990 ,              5,              3,              0,              0,              5,              3,              3,              0,              1,              0,              1,              0,              1,              0,           1103,            820,              2,              3,           1103,           1230,              0,              1,              0,            410,              0,              0,              0,              0,              0,              0,              2,              3,            0/0,            0/0,            N/Y,            N/Y,              0,              0,              N,              N,              1,              0,              0,              0,              0,              0,              0,              0,            553,            410,            550,            410,            551,            409,           1679,            366,           1591,            357,              0,              0,           1643,            363,            553,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,        173.051,        173.333,       492431.9,       492432.7,              0,              0,              6,              5,
7,192.168.2.3,ec2-34-205-162-71.compute-1.amazonaws.com,50740,443,1492102249.145612 , 1492102249.911431 ,             14,             14,              0,              0,             13,             14,             10,              2,              1,              0,              1,              0,              1,              0,            594,          11063,              3,             11,            594,          11079,              0,              1,              0,             16,              0,              0,              0,              0,              0,              0,              3,              5,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              1,              0,              0,              0,              0,              0,           1460,           1460,            300,           1448,            126,             16,            197,           1007,         110784,          29184,          87616,          28160,              0,              0,          99204,          28711,            168,           1448,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.284,          0.582,       665085.5,       665086.7,              0,              0,            776,          14446,
8,192.168.2.3,ec2-54-243-181-49.compute-1.amazonaws.com,47169,443,1492102249.244643 , 1492102250.840841 ,             13,             11,              0,              0,             12,             11,              8,              3,              0,              1,              0,              1,              0,              1,           1545,           6089,              4,              7,           1671,           6089,              1,              0,            126,              0,              0,              0,              0,              0,              0,              0,              4,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              1,              0,              0,              0,              0,           1460,           1460,           1236,           1448,            126,             51,            417,            869,          99200,          34816,          87616,          19200,              0,              0,          95824,          22323,            183,           2896,              1,              2,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          1.142,          1.405,       664156.1,       664194.3,              0,              0,            968,           3815,
9,192.168.2.3,173.0.82.206,47907,443,1492102249.373928 , 1492102250.464797 ,             10,             10,              1,              0,              9,             10,              4,              2,              0,              0,              0,              0,              0,              0,            644,           4993,              4,              6,            644,           4993,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              4,            1/0,            1/1,            Y/Y,            Y/Y,              6,              7,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1380,            303,           1368,             31,             31,            160,            832,         101312,          31104,          87616,          30080,              0,              0,          83356,          30421,            184,           1368,              1,              1,             NA,           4993,             NA,              0,              0,              0,              0,              0,          0.940,          0.722,          354.9,          352.9,              0,              0,            590,           4577,
