#30 args remaining, starting with 'Yelp01.pcapng'
#Ostermann's tcptrace -- version 6.6.7 -- Thu Nov  4, 2004

#Running file 'Yelp01.pcapng' (1 of 30)
#Running file 'Yelp02.pcapng' (2 of 30)
#Running file 'Yelp03.pcapng' (3 of 30)
#Running file 'Yelp04.pcapng' (4 of 30)
#Running file 'Yelp05.pcapng' (5 of 30)
#Running file 'Yelp06.pcapng' (6 of 30)
#Running file 'Yelp07.pcapng' (7 of 30)
#Running file 'Yelp08.pcapng' (8 of 30)
#Running file 'Yelp09.pcapng' (9 of 30)
#Running file 'Yelp10.pcapng' (10 of 30)
#Running file 'Yelp11.pcapng' (11 of 30)
#Running file 'Yelp12.pcapng' (12 of 30)
#Running file 'Yelp13.pcapng' (13 of 30)
#Running file 'Yelp14.pcapng' (14 of 30)
#Running file 'Yelp15.pcapng' (15 of 30)
#Running file 'Yelp16.pcapng' (16 of 30)
#Running file 'Yelp17.pcapng' (17 of 30)
#Running file 'Yelp18.pcapng' (18 of 30)
#Running file 'Yelp19.pcapng' (19 of 30)
#Running file 'Yelp20.pcapng' (20 of 30)
#Running file 'Yelp21.pcapng' (21 of 30)
#Running file 'Yelp22.pcapng' (22 of 30)
#Running file 'Yelp23.pcapng' (23 of 30)
#Running file 'Yelp24.pcapng' (24 of 30)
#Running file 'Yelp25.pcapng' (25 of 30)
#Running file 'Yelp26.pcapng' (26 of 30)
#Running file 'Yelp27.pcapng' (27 of 30)
#Running file 'Yelp28.pcapng' (28 of 30)
#Running file 'Yelp29.pcapng' (29 of 30)
#Running file 'Yelp30.pcapng' (30 of 30)
#3822 packets seen, 3682 TCP packets traced
#elapsed wallclock time: 0:00:00.534120, 7155 pkts/sec analyzed
#trace files elapsed time: 0:11:25.443690
#TCP connection info:
#182 TCP connections traced:
conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,

1,192.168.2.3,ec2-50-19-215-224.compute-1.amazonaws.com,53170,443,1492097486.521825 , 1492097486.822820 ,             12,              9,              0,              0,             11,              9,              8,              1,              0,              0,              0,              0,              0,              0,           1618,           6089,              3,              7,           1618,           6089,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1309,           1448,            126,             51,            539,            869,          99200,          33024,          87616,          30464,              0,              0,          95517,          30784,            183,           4096,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.174,          0.174,       685142.7,       685175.3,              0,              0,           5376,          20230,
2,192.168.2.3,151.101.52.116,59510,443,1492097486.798616 , 1492097487.182854 ,             12,              9,              0,              0,             11,              9,              6,              2,              0,              0,              0,              0,              0,              0,           1795,           5624,              5,              6,           1795,           5624,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              5,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              9,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1066,           1448,             74,             51,            358,            937,         102080,          34304,          87616,          30208,              0,              0,          95778,          31744,            164,           1448,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.142,          0.238,       684782.7,       684823.0,              0,              0,           4672,          14637,
3,192.168.2.3,server-54-230-123-143.dfw50.r.cloudfront.net,47466,443,1492097486.934184 , 1492097487.182980 ,              9,              8,              0,              0,              8,              8,              5,              2,              0,              0,              0,              0,              0,              0,           1277,           4946,              3,              5,           1277,           4946,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            972,           1448,            126,            242,            425,            989,         102080,          32000,          87616,          30208,              0,              0,          94136,          30720,            179,           3893,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.080,          0.152,       684782.5,       684821.8,              0,              0,           5133,          19880,
4,192.168.2.3,151.101.52.116,40662,443,1492097486.962259 , 1492097487.322665 ,             11,             10,              0,              0,             10,             10,              7,              1,              0,              0,              0,              0,              0,              0,           1046,           7573,              3,              8,           1046,           7573,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              9,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            724,           1448,            126,             41,            348,            946,         105024,          31744,          87616,          30208,              0,              0,          96313,          30890,            196,           4693,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.138,          0.219,       684642.9,       684676.5,              0,              0,           2902,          21012,
5,192.168.2.3,151.101.52.116,38704,443,1492097486.964210 , 1492097487.352449 ,             10,              8,              0,              0,              9,              8,              6,              1,              0,              0,              0,              0,              0,              0,           1027,           5854,              3,              6,           1027,           5854,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              9,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            705,           1448,            126,             51,            342,            975,         102080,          31744,          87616,          30208,              0,              0,          95018,          30646,            196,           4689,              1,              4,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.144,          0.243,       684613.1,       684647.8,              0,              0,           2645,          15078,
6,192.168.2.3,a23-204-73-40.deploy.static.akamaitechnologies.com,36317,443,1492097487.284987 , 1492097487.455230 ,             11,             11,              1,              1,             10,             10,              5,              1,              0,              0,              0,              0,              0,              0,           1426,           5532,              4,              7,           1426,           5532,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              4,              5,            1/0,            1/1,            Y/Y,            Y/Y,              6,              5,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1079,           1448,             31,             31,            356,            790,          99200,          32192,          87616,          30048,              0,              0,          85228,          27686,            190,           4926,              1,              4,             NA,           5533,             NA,              1,              0,              0,              0,              0,          0.115,          0.087,           29.2,           56.1,              0,              0,           8376,          32495,
7,192.168.2.3,ec2-23-21-204-219.compute-1.amazonaws.com,55891,443,1492097506.353994 , 1492097506.632495 ,             12,              9,              0,              0,             11,              9,              8,              1,              0,              0,              0,              0,              0,              0,           1616,           6089,              3,              7,           1616,           6089,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              4,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1307,           1448,            126,             51,            538,            869,          99200,          33024,          87616,          30464,              0,              0,          95517,          30784,            183,           4096,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.153,          0.154,       665333.0,       665366.2,              0,              0,           5802,          21863,
8,192.168.2.3,151.101.52.116,36572,443,1492097506.590302 , 1492097506.983802 ,             12,              9,              0,              0,             11,              9,              6,              2,              0,              0,              0,              0,              0,              0,           1796,           5676,              5,              6,           1796,           5676,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              5,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              9,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,           1066,           1448,             74,             51,            359,            945,         102080,          34304,          87616,          30208,              0,              0,          95778,          31744,            164,           1448,              1,              1,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.158,          0.246,       664981.7,       665022.9,              0,              0,           4564,          14424,
9,192.168.2.3,server-54-230-123-143.dfw50.r.cloudfront.net,33548,443,1492097506.759965 , 1492097507.52382 ,              9,              8,              0,              0,              8,              8,              5,              2,              0,              0,              0,              0,              0,              0,           1277,           4946,              3,              5,           1277,           4946,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              3,              3,            1/0,            1/0,            Y/Y,            Y/Y,              6,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            972,           1448,            126,            242,            425,            989,         102080,          32000,          87616,          30208,              0,              0,          94136,          30720,            179,           3893,              1,              3,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.086,          0.199,       664913.1,       664948.6,              0,              0,           4367,          16914,
